	timestamp_s	timestamp_ms	imu1_accel_x	imu1_accel_y	imu1_accel_z	imu1_gyro_x	imu1_gyro_y	imu1_gyro_z	imu1_mag_x	imu1_mag_y	imu1_mag_z	imu2_accel_x	imu2_accel_y	imu2_accel_z	imu2_gyro_x	imu2_gyro_y	imu2_gyro_z	imu2_mag_x	imu2_mag_y	imu2_mag_z	high_g_accel_x	high_g_accel_y	high_g_accel_z	baro1_temp	baro1_pres	baro1_alt	baro2_temp	baro2_pres	baro2_alt	gps_lat	gps_long	gps_alt	battery_voltage	pyro_cont	heading	vtg	pos_x	pos_y	pos_z	vel_x	vel_y	vel_z	q_x	q_y	q_z	q_w	state	baro_pres_avg	imu1_accel_x_real	imu1_accel_y_real	imu1_accel_z_real	imu2_accel_x_real	imu2_accel_y_real	imu2_accel_z_real	imu1_gyro_x_real	imu1_gyro_y_real	imu1_gyro_z_real	imu2_gyro_x_real	imu2_gyro_y_real	imu2_gyro_z_real	imu1_mag_x_real	imu1_mag_y_real	imu1_mag_z_real	imu2_mag_x_real	imu2_mag_y_real	imu2_mag_z_real	imu_accel_x_avg	imu_accel_y_avg	imu_accel_z_avg	imu_gyro_x_avg	imu_gyro_y_avg	imu_gyro_z_avg	imu_mag_x_avg	imu_mag_y_avg	imu_mag_z_avg	high_g_accel_x_real	high_g_accel_y_real	high_g_accel_z_real	baro_temp_avg
18723	4940393	0	-89	1310	31	-102	183	30	-456	1713	858	-68	1332	3	5	-12	-43	132	664	2849	0	288	-32768	55.24	0.9955193683691091	0.0	53.0	1.0023587466074513	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9989390574882802	-0.05324030285	0.7836494015	0.01854437515	-0.040677984199999996	0.7968099258	0.0017946169499999999	-0.0155770626	0.0279470829	0.004581489	0.0007635815	-0.0018325956	-0.0065668009	-0.06384	0.23981999999999998	0.12011999999999999	0.01848	0.09295999999999999	0.39886	-0.046959143525	0.7902296636499999	0.01016949605	-0.00740674055	0.01305724365	-0.00099265595	-0.02268	0.16638999999999998	0.25949	0.0	8.47296	-964.03456	54.120000000000005
18724	4940435	0	-88	1312	28	-108	198	35	-442	1710	844	-70	1320	3	-1	-7	-42	132	664	2849	48	304	-32768	55.24	0.9956377991611152	0.0	53.0	1.00239822353812	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990180113496175	-0.0526420972	0.7848458128	0.0167497582	-0.0418743955	0.789631458	0.0017946169499999999	-0.0164933604	0.0302378274	0.0053450705	-0.0001527163	-0.0010690141000000001	-0.0064140846	-0.06188	0.23939999999999997	0.11815999999999999	0.01848	0.09295999999999999	0.39886	-0.047258246350000005	0.7872386354	0.009272187575	-0.00832303835	0.01458440665	-0.0005345070499999998	-0.021699999999999997	0.16618	0.25851	1.41216	8.94368	-964.03456	54.120000000000005
18725	4940479	0	-93	1307	35	-115	194	28	-442	1710	844	-69	1326	-1	3	-10	-44	132	664	2849	-16	240	-32768	55.25	0.9955687145324452	0.0	52.99	1.0024771773994572	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990229459659512	-0.05563312545	0.78185478455	0.02093719775	-0.04127618985	0.7932206919	-0.00059820565	-0.0175623745	0.0296269622	0.0042760564000000004	0.0004581489	-0.001527163	-0.0067195172000000004	-0.06188	0.23939999999999997	0.11815999999999999	0.01848	0.09295999999999999	0.39886	-0.048454657649999996	0.787537738225	0.01016949605	-0.0085521128	0.014049899599999999	-0.0012217304	-0.021699999999999997	0.16618	0.25851	-0.47072	7.0608	-964.03456	54.120000000000005
18726	4940521	0	-83	1306	31	-111	182	19	-442	1710	844	-68	1331	-2	15	-2	-52	132	664	2849	-16	272	-32768	55.23	0.9955094991364422	0.0	53.0	1.00246730816679	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9989884036516161	-0.04965106895	0.7812565789	0.01854437515	-0.040677984199999996	0.79621172015	-0.0011964113	-0.0169515093	0.0277943666	0.0029016097	0.0022907445	-0.0003054326	-0.0079412476	-0.06188	0.23939999999999997	0.11815999999999999	0.01848	0.09295999999999999	0.39886	-0.045164526575	0.788734149525	0.008673981925000001	-0.0073303824	0.013744467	-0.0025198189499999997	-0.021699999999999997	0.16618	0.25851	-0.47072	8.00224	-964.03456	54.114999999999995
18727	4940563	0	-90	1303	31	-108	188	20	-442	1710	844	-66	1325	1	1	-17	-56	132	664	2849	32	240	-32768	55.24	0.995815445349124	0.0	53.0	1.00246730816679	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9991413767579571	-0.0538385085	0.77946196195	0.01854437515	-0.0394815729	0.79262248625	0.00059820565	-0.0164933604	0.0287106644	0.003054326	0.0001527163	-0.0025961771	-0.008552112800000001	-0.06188	0.23939999999999997	0.11815999999999999	0.01848	0.09295999999999999	0.39886	-0.0466600407	0.7860422241	0.0095712904	-0.00817032205	0.01305724365	-0.0027488934000000007	-0.021699999999999997	0.16618	0.25851	0.94144	7.0608	-964.03456	54.120000000000005
18728	4940607	0	-82	1310	28	-111	185	15	-434	1704	827	-72	1325	1	5	-17	-49	112	670	2903	-96	176	-32768	55.26	0.9954700222057736	0.0	52.99	1.002457438934123	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9989637305699484	-0.0490528633	0.7836494015	0.0167497582	-0.0430708068	0.79262248625	0.00059820565	-0.0169515093	0.0282525155	0.0022907445	0.0007635815	-0.0025961771	-0.0074830987	-0.060759999999999995	0.23855999999999997	0.11578	0.01568	0.0938	0.40641999999999995	-0.04606183505	0.788135943875	0.008673981925	-0.0080939639	0.0128281692	-0.0025961771000000003	-0.022539999999999998	0.16618	0.2611	-2.82432	5.17792	-964.03456	54.125
18729	4940649	0	-83	1309	30	-114	175	14	-434	1704	827	-64	1319	1	3	-5	-60	112	670	2903	0	224	-32768	55.24	0.995312114483099	0.0	53.0	1.002408092770787	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.998860103626943	-0.04965106895	0.7830511958499999	0.0179461695	-0.0382851616	0.78903325235	0.00059820565	-0.0174096582	0.0267253525	0.0021380282000000002	0.0004581489	-0.0007635815	-0.009162978	-0.060759999999999995	0.23855999999999997	0.11578	0.01568	0.0938	0.40641999999999995	-0.043968115275	0.7860422241	0.009272187575	-0.00847575465	0.0129808855	-0.0035124749	-0.022539999999999998	0.16618	0.2611	0.0	6.59008	-964.03456	54.120000000000005
18730	4940693	0	-90	1308	29	-110	179	24	-434	1704	827	-70	1323	2	-4	-18	-58	112	670	2903	-96	336	-32768	55.24	0.9955391068344436	0.0	53.01	1.0024377004687886	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9989884036516161	-0.0538385085	0.7824529902	0.01734796385	-0.0418743955	0.79142607495	0.0011964113	-0.016798793	0.0273362177	0.0036651912	-0.0006108652	-0.0027488934	-0.0088575454	-0.060759999999999995	0.23855999999999997	0.11578	0.01568	0.0938	0.40641999999999995	-0.047856452	0.7869395325749999	0.009272187574999998	-0.0087048291	0.012293662149999999	-0.0025961771	-0.022539999999999998	0.16618	0.2611	-2.82432	9.88512	-964.03456	54.125
18731	4940735	0	-79	1308	27	-104	192	23	-434	1704	827	-67	1325	2	7	-14	-50	112	670	2903	0	336	-32768	55.24	0.9955983222304464	0.0	53.01	1.002417962003454	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990081421169501	-0.04725824635	0.7824529902	0.01615155255	-0.04007977855	0.79262248625	0.0011964113	-0.0158824952	0.0293215296	0.0035124749	0.0010690141000000001	-0.0021380282000000002	-0.007635815	-0.060759999999999995	0.23855999999999997	0.11578	0.01568	0.0938	0.40641999999999995	-0.04366901245	0.787537738225	0.008673981925	-0.00740674055	0.0135917507	-0.0020616700499999996	-0.022539999999999998	0.16618	0.2611	0.0	9.88512	-964.03456	54.125
18732	4940777	0	-83	1316	38	-114	194	25	-434	1704	827	-62	1331	3	5	-10	-48	112	670	2903	-32	272	-32768	55.24	0.9956377991611152	0.0	52.99	1.0024771773994572	0.0	4449.47900390625	-7309.8408203125	37.59999847412109	13.04551124572754	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.9990574882802862	-0.04965106895	0.7872386353999999	0.0227318147	-0.0370887503	0.79621172015	0.0017946169499999999	-0.0174096582	0.0296269622	0.0038179075	0.0007635815	-0.001527163	-0.0073303824	-0.060759999999999995	0.23855999999999997	0.11578	0.01568	0.0938	0.40641999999999995	-0.043369909625	0.791725177775	0.012263215825	-0.00832303835	0.014049899599999999	-0.00175623745	-0.022539999999999998	0.16618	0.2611	-0.94144	8.00224	-964.03456	54.115
