#version	serial	flight	time	state	state_name	acceleration	pressure	altitude	height	speed	temperature	drogue_voltage	main_voltage	battery_voltage
6	6363	11	-0.62	3	boost	10.40	102507.00	-97.93	6.92	14.73	17.0	4.06	4.09	4.07
6	6363	11	-0.61	3	boost	10.94	102501.00	-97.44	7.42	14.94	17.0	4.06	4.09	4.07
6	6363	11	-0.60	3	boost	11.51	102502.00	-97.52	7.34	15.15	17.0	4.06	4.09	4.07
6	6363	11	-0.59	3	boost	12.09	102501.00	-97.44	7.42	15.37	17.0	4.07	4.10	4.07
6	6363	11	-0.58	3	boost	12.69	102496.00	-97.02	7.83	15.58	17.0	4.06	4.09	4.07
6	6363	11	-0.57	3	boost	13.31	102497.00	-97.11	7.75	15.80	17.0	4.07	4.09	4.07
6	6363	11	-0.56	3	boost	13.94	102491.00	-96.61	8.24	16.02	17.0	4.06	4.10	4.06
6	6363	11	-0.55	3	boost	14.59	102486.00	-96.20	8.66	16.24	17.0	4.07	4.09	4.07
6	6363	11	-0.54	3	boost	15.25	102481.00	-95.79	9.07	16.47	17.0	4.06	4.09	4.07
6	6363	11	-0.53	3	boost	15.92	102484.00	-96.03	8.82	16.70	17.0	4.06	4.09	4.07
6	6363	11	-0.52	3	boost	16.60	102472.00	-95.04	9.81	16.93	17.0	4.05	4.08	4.08
6	6363	11	-0.51	3	boost	17.28	102482.00	-95.87	8.99	17.16	17.0	4.06	4.10	4.07
6	6363	11	-0.50	3	boost	17.97	102481.00	-95.79	9.07	17.39	17.0	4.06	4.09	4.07
6	6363	11	-0.49	3	boost	18.66	102471.00	-94.96	9.89	17.63	17.0	4.06	4.09	4.07
6	6363	11	-0.48	3	boost	19.34	102474.00	-95.21	9.65	17.87	17.0	4.06	4.09	4.07
6	6363	11	-0.47	3	boost	20.02	102471.00	-94.96	9.89	18.11	17.0	4.06	4.09	4.07
6	6363	11	-0.46	3	boost	20.69	102459.00	-93.97	10.88	18.35	17.0	4.06	4.09	4.07
6	6363	11	-0.45	3	boost	21.34	102460.00	-94.05	10.80	18.60	17.0	4.06	4.09	4.07
6	6363	11	-0.44	3	boost	21.98	102457.00	-93.81	11.05	18.85	17.0	4.06	4.09	4.07
6	6363	11	-0.43	3	boost	22.60	102461.00	-94.14	10.72	19.10	17.0	4.06	4.09	4.07
6	6363	11	-0.42	3	boost	23.20	102453.00	-93.48	11.38	19.35	17.0	4.07	4.09	4.07
6	6363	11	-0.41	3	boost	23.77	102443.00	-92.65	12.20	19.61	17.0	4.05	4.08	4.08
6	6363	11	-0.40	3	boost	24.31	102442.00	-92.57	12.29	19.86	17.0	4.06	4.09	4.07
6	6363	11	-0.39	3	boost	24.82	102442.00	-92.57	12.29	20.12	17.0	4.07	4.09	4.07
6	6363	11	-0.38	3	boost	25.30	102436.00	-92.07	12.78	20.38	17.0	4.06	4.09	4.07
6	6363	11	-0.37	3	boost	25.75	102429.00	-91.50	13.36	20.65	17.0	4.06	4.09	4.07
6	6363	11	-0.36	3	boost	26.16	102434.00	-91.91	12.95	20.91	17.0	4.06	4.10	4.07
6	6363	11	-0.35	3	boost	26.54	102415.00	-90.34	14.51	21.18	17.0	4.07	4.09	4.07
