#version	serial	flight	time	state	state_name	acceleration	pressure	altitude	height	speed	temperature	drogue_voltage	main_voltage	battery_voltage
6	8069	3	-0.14	3	boost	29.33	91266.00	873.16	23.62	40.30	45.8	4.02	4.03	4.00
6	8069	3	-0.13	3	boost	30.87	91262.00	873.52	23.98	40.89	45.8	4.02	4.03	4.00
6	8069	3	-0.12	3	boost	32.47	91253.00	874.33	24.80	41.48	45.8	4.02	4.02	4.00
6	8069	3	-0.11	3	boost	34.11	91248.00	874.79	25.25	42.08	45.8	4.02	4.02	4.00
6	8069	3	-0.10	3	boost	35.82	91231.00	876.33	26.79	42.68	45.8	3.99	4.05	4.00
6	8069	3	-0.09	3	boost	37.57	91228.00	876.60	27.06	43.30	45.8	4.02	4.02	4.00
6	8069	3	-0.08	3	boost	39.36	91216.00	877.69	28.15	43.92	45.8	4.02	4.03	4.00
6	8069	3	-0.07	3	boost	41.20	91213.00	877.96	28.42	44.54	45.8	4.02	4.02	4.00
6	8069	3	-0.06	3	boost	43.07	91196.00	879.50	29.96	45.17	45.8	4.02	4.03	4.00
6	8069	3	-0.05	3	boost	44.97	91197.00	879.41	29.87	45.81	45.8	4.02	4.02	4.00
6	8069	3	-0.04	3	boost	46.90	91189.00	880.13	30.60	46.46	45.8	4.02	4.03	4.00
6	8069	3	-0.03	3	boost	48.84	91182.00	880.77	31.23	47.11	45.8	4.02	4.02	4.00
6	8069	3	-0.02	3	boost	50.79	91181.00	880.86	31.32	47.77	45.8	4.00	4.02	4.00
6	8069	3	-0.01	3	boost	52.75	91170.00	881.86	32.32	48.44	45.8	4.02	4.02	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.00	3	boost	54.69	91168.00	882.04	32.50	49.11	45.8	4.02	4.03	4.00
6	8069	3	0.01	3	boost	56.62	91165.00	882.31	32.77	49.79	45.8	4.00	4.03	4.00
6	8069	3	0.02	3	boost	58.52	91161.00	882.67	33.14	50.48	45.8	4.03	4.02	4.00
6	8069	3	0.03	3	boost	60.39	91151.00	883.58	34.04	51.17	45.8	4.02	4.03	4.03
6	8069	3	0.04	3	boost	62.21	91143.00	884.31	34.77	51.87	45.8	4.03	4.03	4.00
6	8069	3	0.05	3	boost	63.98	91147.00	883.94	34.41	52.58	45.8	3.99	4.00	3.99
6	8069	3	0.06	3	boost	65.68	91131.00	885.39	35.86	53.29	45.8	4.02	4.02	3.96
6	8069	3	0.07	3	boost	67.32	91130.00	885.48	35.95	54.01	45.8	4.02	4.02	4.00
6	8069	3	0.08	3	boost	68.87	91119.00	886.48	36.94	54.74	45.8	4.03	4.03	4.00
6	8069	3	0.09	3	boost	70.35	91111.00	887.21	37.67	55.47	45.8	4.02	4.03	4.03
6	8069	3	0.10	3	boost	71.73	91112.00	887.12	37.58	56.21	45.8	4.02	4.02	4.00
6	8069	3	0.11	3	boost	73.02	91099.00	888.30	38.76	56.96	45.8	3.97	4.03	3.97
6	8069	3	0.12	3	boost	74.21	91099.00	888.30	38.76	57.71	45.8	4.02	4.03	4.00
6	8069	3	0.13	3	boost	75.31	91097.00	888.48	38.94	58.47	45.8	4.02	4.02	4.00
6	8069	3	0.14	3	boost	76.31	91075.00	890.47	40.94	59.23	45.7	4.00	4.02	3.99
6	8069	3	0.15	3	boost	77.21	91071.00	890.84	41.30	60.00	45.7	4.02	4.06	4.02
6	8069	3	0.16	3	boost	78.02	91051.00	892.65	43.12	60.78	45.7	4.00	4.02	4.00
6	8069	3	0.17	3	boost	78.74	91054.00	892.38	42.84	61.56	45.7	4.03	4.03	4.02
6	8069	3	0.18	3	boost	79.38	91045.00	893.20	43.66	62.34	45.7	4.00	3.99	4.00
6	8069	3	0.19	3	boost	79.94	91033.00	894.29	44.75	63.14	45.7	4.02	4.02	4.00
6	8069	3	0.20	3	boost	80.43	91023.00	895.19	45.66	63.94	45.7	4.02	4.02	4.00
6	8069	3	0.21	3	boost	80.86	91011.00	896.28	46.75	64.74	45.7	4.03	4.05	4.00
6	8069	3	0.22	3	boost	81.23	91010.00	896.37	46.84	65.55	45.7	4.00	4.06	4.00
6	8069	3	0.23	3	boost	81.55	91010.00	896.37	46.84	66.36	45.7	4.03	4.05	4.02
6	8069	3	0.24	3	boost	81.84	90988.00	898.37	48.84	67.18	45.7	4.02	4.03	4.00
6	8069	3	0.25	3	boost	82.10	90978.00	899.28	49.74	68.01	45.7	4.02	4.03	4.00
6	8069	3	0.26	3	boost	82.33	90966.00	900.37	50.83	68.84	45.7	4.02	4.02	4.00
6	8069	3	0.27	3	boost	82.55	90953.00	901.55	52.01	69.67	45.7	4.02	4.03	4.00
6	8069	3	0.28	3	boost	82.76	90943.00	902.46	52.92	70.51	45.7	4.02	4.03	4.00
6	8069	3	0.29	3	boost	82.97	90932.00	903.46	53.92	71.35	45.7	4.00	4.05	4.00
6	8069	3	0.30	3	boost	83.17	90929.00	903.73	54.20	72.20	45.7	4.06	4.02	4.02
6	8069	3	0.31	3	boost	83.39	90922.00	904.37	54.83	73.05	45.7	4.02	4.02	4.02
6	8069	3	0.32	3	boost	83.61	90905.00	905.91	56.38	73.91	45.7	4.03	4.02	4.00
6	8069	3	0.33	3	boost	83.84	90908.00	905.64	56.10	74.77	45.7	4.02	3.99	3.99
6	8069	3	0.34	3	boost	84.09	90908.00	905.64	56.10	75.63	45.7	4.02	4.03	4.02
6	8069	3	0.35	3	boost	84.34	90897.00	906.64	57.10	76.50	45.7	4.02	4.02	4.00
6	8069	3	0.36	3	boost	84.61	90885.00	907.73	58.19	77.37	45.7	4.00	4.03	3.99
6	8069	3	0.37	3	boost	84.86	90868.00	909.28	59.74	78.24	45.7	4.03	4.03	4.00
6	8069	3	0.38	3	boost	85.09	90857.00	910.28	60.74	79.12	45.7	4.02	4.02	4.00
6	8069	3	0.39	3	boost	85.31	90852.00	910.73	61.19	80.00	45.7	4.02	4.02	4.00
6	8069	3	0.40	3	boost	85.51	90834.00	912.37	62.83	80.88	45.7	4.02	4.02	4.00
6	8069	3	0.41	3	boost	85.70	90831.00	912.64	63.10	81.76	45.7	4.02	4.03	4.00
6	8069	3	0.42	3	boost	85.87	90810.00	914.55	65.01	82.65	45.7	4.02	4.02	4.00
6	8069	3	0.43	3	boost	86.02	90796.00	915.83	66.29	83.54	45.7	4.00	4.05	4.00
6	8069	3	0.44	3	boost	86.15	90791.00	916.28	66.74	84.43	45.7	3.96	4.03	4.00
