#version	serial	flight	time	state	state_name	acceleration	pressure	altitude	height	speed	temperature	drogue_voltage	main_voltage	battery_voltage
6	6283	13	-0.62	3	boost	21.72	101300.00	2.08	2.08	28.59	6.2	4.06	0.00	4.01
6	6283	13	-0.61	3	boost	22.86	101312.00	1.08	1.08	29.02	6.2	4.06	0.00	4.00
6	6283	13	-0.60	3	boost	24.04	101288.00	3.08	3.08	29.46	6.2	4.06	0.00	4.01
6	6283	13	-0.59	3	boost	25.25	101298.00	2.25	2.25	29.91	6.1	4.06	0.00	4.01
6	6283	13	-0.58	3	boost	26.51	101301.00	2.00	2.00	30.36	6.2	4.06	0.00	4.01
6	6283	13	-0.57	3	boost	27.80	101279.00	3.83	3.83	30.81	6.2	4.06	0.00	4.00
6	6283	13	-0.56	3	boost	29.13	101273.00	4.33	4.33	31.27	6.2	4.06	0.00	4.01
6	6283	13	-0.55	3	boost	30.48	101250.00	6.25	6.25	31.73	6.2	4.05	0.00	4.01
6	6283	13	-0.54	3	boost	31.86	101254.00	5.91	5.91	32.20	6.2	4.06	0.00	4.01
6	6283	13	-0.53	3	boost	33.27	101245.00	6.66	6.66	32.67	6.2	4.05	0.00	4.01
6	6283	13	-0.52	3	boost	34.69	101257.00	5.66	5.66	33.15	6.2	4.05	0.00	4.03
6	6283	13	-0.51	3	boost	36.12	101243.00	6.83	6.83	33.64	6.2	4.06	0.00	4.01
6	6283	13	-0.50	3	boost	37.56	101258.00	5.58	5.58	34.13	6.2	4.06	0.00	4.01
6	6283	13	-0.49	3	boost	38.99	101241.00	6.99	6.99	34.62	6.2	4.06	0.00	4.01
6	6283	13	-0.48	3	boost	40.42	101244.00	6.74	6.74	35.12	6.2	4.05	0.00	4.00
6	6283	13	-0.47	3	boost	41.84	101226.00	8.24	8.24	35.63	6.2	4.06	0.00	4.01
6	6283	13	-0.46	3	boost	43.24	101236.00	7.41	7.41	36.14	6.1	4.06	0.00	4.00
6	6283	13	-0.45	3	boost	44.61	101233.00	7.66	7.66	36.65	6.2	4.06	0.00	4.01
6	6283	13	-0.44	3	boost	45.94	101220.00	8.74	8.74	37.17	6.2	4.06	0.00	4.00
6	6283	13	-0.43	3	boost	47.24	101211.00	9.49	9.49	37.69	6.2	4.06	0.00	4.01
