key	value	source
altimeter.board	FCBV2	derived
altimeter.source_folder	root-fcbv2_wyatt_2_15-metadata	derived
data.has_parsed_timeseries	false	derived
data.row_count	0	derived
data.source_file	none	derived
data.synthetic_time_added	true	derived
data.time_column	generated_time_s	derived
flight.date	2025-02-15	derived
flight.name	Wyatt	derived
log.fcbv2_wyatt_2_15-metadata.apogee_timestamp	577775	log
log.fcbv2_wyatt_2_15-metadata.gps_timestamp	1739640755	log
log.fcbv2_wyatt_2_15-metadata.gravity_ref	1	log
log.fcbv2_wyatt_2_15-metadata.gyro_offset_x	-0.023509979248046875	log
log.fcbv2_wyatt_2_15-metadata.gyro_offset_y	0.007815064862370491	log
log.fcbv2_wyatt_2_15-metadata.gyro_offset_z	0.0019533042795956135	log
log.fcbv2_wyatt_2_15-metadata.launched	1	log
log.fcbv2_wyatt_2_15-metadata.pressure_ref	1.0136984949420182	log
log.fcbv2_wyatt_2_15-metadata.trigger_fire_status	-15	log
