key	value	source
altimeter.board	SillyGooseV1	derived
altimeter.source_folder	root-nuli_launch_nasa_competition-metadata	derived
data.has_parsed_timeseries	false	derived
data.row_count	0	derived
data.source_file	none	derived
data.synthetic_time_added	true	derived
data.time_column	generated_time_s	derived
flight.date	2025-05-04	derived
flight.name	MBTA	derived
log.nuli_launch_nasa_competition-metadata.apogee_timestamp	6172260	log
log.nuli_launch_nasa_competition-metadata.gps_timestamp	1746379430	log
log.nuli_launch_nasa_competition-metadata.gravity_ref	1	log
log.nuli_launch_nasa_competition-metadata.gyro_offset_x	0.01031501591205597	log
log.nuli_launch_nasa_competition-metadata.gyro_offset_y	-0.008793366141617298	log
log.nuli_launch_nasa_competition-metadata.gyro_offset_z	-0.033478736877441406	log
log.nuli_launch_nasa_competition-metadata.launched	1	log
log.nuli_launch_nasa_competition-metadata.pressure_ref	0.9717579570688379	log
log.nuli_launch_nasa_competition-metadata.trigger_fire_status	-1	log
