,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro1_alt,baro2_temp,baro2_pres,baro2_alt,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg
1249,8985022,0,-643,16301,-408,102,-33,22,-425,8097,3989,-691,16264,238,130,268,33,1714,2642,10894,-336,64,12352,39.47,0.999743399950654,0.0,41.63,1.0116062176165803,0.0,0.0,0.0,0.0,7.762389183044434,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0056748087836171,-0.38464623295,9.75135030065,-0.2440679052,-0.41336010415,9.7292166916,0.1423729447,0.0155770626,-0.0050396379,0.0033597586000000002,0.019853119,0.0409279684,0.0050396379,-0.0595,1.1335799999999998,0.55846,0.23995999999999998,0.36988,1.5251599999999998,-0.39900316855,9.740283496124999,-0.05084748024999999,0.0177150908,0.01794416525,0.00419969825,0.09022999999999999,0.7517299999999999,1.04181,-9.88512,1.88288,363.39584,40.55
1250,8985308,0,-677,16294,-371,91,-46,16,-461,8130,3929,-720,16260,255,97,250,-2,1694,2600,11001,-240,128,12336,39.47,0.9996052306933136,0.0,41.64,1.0114779175919073,0.0,0.0,0.0,0.0,7.773467540740967,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0055415741426104,-0.40498522505,9.7471628611,-0.22193429615,-0.430708068,9.726823869,0.15254244075,0.0138971833,-0.0070249498,0.0024434608,0.0148134811,0.038179075,-0.0003054326,-0.06454,1.1381999999999999,0.55006,0.23715999999999998,0.364,1.5401399999999998,-0.41784664652500003,9.736993365050001,-0.03469592769999999,0.0143553322,0.0155770626,0.0010690141000000001,0.08631,0.7510999999999999,1.0451,-7.0608,3.76576,362.92512,40.555
1251,8985554,0,-645,16299,-446,86,-41,-3,-454,8103,3985,-724,16258,200,70,247,-5,1696,2582,10924,-192,160,12304,39.47,0.9998026153466568,0.0,41.64,1.0114779175919073,0.0,0.0,0.0,0.0,7.765712738037109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.005640266469282,-0.38584264425,9.750153889349999,-0.2667997199,-0.4331008906,9.7256274577,0.11964113,0.0131336018,-0.0062613683,-0.0004581489,0.010690141,0.0377209261,-0.0007635815,-0.06355999999999999,1.13442,0.5579,0.23743999999999998,0.36147999999999997,1.5293599999999998,-0.409471767425,9.737890673525,-0.07357929495000001,0.0119118714,0.0157297789,-0.0006108652,0.08693999999999999,0.74795,1.0436299999999998,-5.64864,4.7072,361.98368000000005,40.555
1252,8985802,0,-634,16294,-489,95,-26,-10,-462,8063,3923,-683,16258,168,97,267,10,1715,2612,10922,-304,0,12368,39.47,0.9996743153219836,0.0,41.62,1.0114877868245744,0.0,0.0,0.0,0.0,7.765712738037109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.005581051073279,-0.3792623821,9.7471628611,-0.29252256285,-0.40857445895,9.7256274577,0.1004985492,0.0145080485,-0.0039706238,-0.001527163,0.0148134811,0.0407752521,0.001527163,-0.06467999999999999,1.12882,0.5492199999999999,0.24009999999999998,0.36567999999999995,1.5290799999999998,-0.39391842052500003,9.7363951594,-0.096012006825,0.0146607648,0.01840231415,0.0,0.08771,0.74725,1.0391499999999998,-8.94368,0.0,363.86656000000005,40.545
1253,8986090,0,-641,16296,-468,130,-44,5,-381,8103,3903,-689,16268,180,120,235,28,1678,2583,10977,-192,64,12288,39.46,0.9995460152973108,0.0,41.64,1.0114779175919073,0.0,0.0,0.0,0.0,7.779560565948486,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.005511966444609,-0.38344982164999997,9.7483592724,-0.2799602442,-0.41216369285,9.7316095142,0.107677017,0.019853119,-0.0067195172000000004,0.0007635815,0.018325956,0.0358883305,0.0042760564000000004,-0.05334,1.13442,0.5464199999999999,0.23492,0.36161999999999994,1.5367799999999998,-0.39780675725,9.7399843933,-0.0861416136,0.0190895375,0.014584406650000001,0.00251981895,0.09079,0.7480199999999999,1.0415999999999999,-5.64864,1.88288,361.51296,40.55
1254,8986336,0,-723,16307,-393,111,-25,11,-462,8129,3915,-726,16274,239,121,257,9,1700,2619,10982,-288,32,12368,39.47,0.9998420922773256,0.0,41.64,1.0114779175919073,0.0,0.0,0.0,0.0,7.760727882385254,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0056600049346165,-0.43250268495,9.75493953455,-0.23509482045,-0.4342973019,9.7351987481,0.14297115035,0.0169515093,-0.0038179075,0.0016798793000000001,0.0184786723,0.0392480891,0.0013744467,-0.06467999999999999,1.1380599999999998,0.5480999999999999,0.238,0.36666,1.53748,-0.433399993425,9.745069141325,-0.04606183505,0.0177150908,0.0177150908,0.001527163,0.08666,0.7523599999999999,1.0427899999999999,-8.47296,0.94144,363.86656000000005,40.555
1255,8986624,0,-635,16315,-408,100,-14,-4,-460,8090,3937,-684,16260,242,97,271,-6,1663,2606,10934,-176,16,12288,39.47,0.9994966691339748,0.0,41.63,1.0113890944979027,0.0,0.0,0.0,0.0,7.768482208251953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0054428818159389,-0.37986058775,9.75972517975,-0.2440679052,-0.4091726646,9.726823869,0.1447657673,0.01527163,-0.0021380282000000002,-0.0006108652,0.0148134811,0.0413861173,-0.0009162978,-0.0644,1.1325999999999998,0.55118,0.23281999999999997,0.36483999999999994,1.53076,-0.394516626175,9.743274524375,-0.04965106895,0.01504255555,0.019624044549999997,-0.0007635815,0.08420999999999998,0.7487199999999998,1.04097,-5.17792,0.47072,361.51296,40.55
1256,8986872,0,-620,16293,-465,92,-51,6,-469,8111,3949,-656,16266,156,86,240,1,1726,2539,10954,-288,64,12368,39.47,0.9999013076733284,0.0,41.63,1.0116062176165803,0.0,0.0,0.0,0.0,7.771251678466797,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0057537626449544,-0.370887503,9.74656465545,-0.27816562725,-0.3924229064,9.7304131029,0.0933200814,0.0140498996,-0.0077885313,0.0009162978,0.0131336018,0.036651912,0.0001527163,-0.06566,1.13554,0.5528599999999999,0.24163999999999997,0.35545999999999994,1.5335599999999998,-0.38165520470000003,9.738488879175,-0.092422772925,0.0135917507,0.014431690350000002,0.0005345070500000001,0.08798999999999998,0.7454999999999999,1.0432099999999997,-8.47296,1.88288,363.86656000000005,40.55
1257,8987118,0,-627,16299,-500,111,-50,19,-452,8063,3897,-663,16284,156,97,240,32,1684,2586,10942,-336,112,12432,39.47,0.9996644460893166,0.0,41.64,1.011517394522576,0.0,0.0,0.0,0.0,7.7640509605407715,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0055909203059463,-0.37507494255,9.750153889349999,-0.299102825,-0.39661034595,9.741180804599999,0.0933200814,0.0169515093,-0.007635815,0.0029016097,0.0148134811,0.036651912,0.0048869216,-0.06327999999999999,1.12882,0.54558,0.23575999999999997,0.36204,1.53188,-0.38584264425000003,9.745667346974999,-0.1028913718,0.0158824952,0.0145080485,0.00389426565,0.08623999999999998,0.7454299999999999,1.03873,-9.88512,3.29504,365.74944000000005,40.555
1258,8987406,0,-714,16300,-444,120,-42,4,-449,8092,3950,-760,16260,203,119,263,18,1713,2604,10957,-208,48,12336,39.47,0.9996743153219836,0.0,41.63,1.0113298791019,0.0,0.0,0.0,0.0,7.769036293029785,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.005502097211942,-0.4271188341,9.750752095,-0.2656033086,-0.454636294,9.726823869,0.12143574694999999,0.018325956,-0.0064140846,0.0006108652,0.0181732397,0.0401643869,0.0027488934,-0.06286,1.1328799999999999,0.5529999999999999,0.23981999999999998,0.36456,1.53398,-0.44087756405,9.738787982,-0.072083780825,0.01824959785,0.01687515115,0.0016798793,0.08847999999999999,0.7487199999999999,1.0434899999999998,-6.11936,1.41216,362.92512,40.55
