,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg
76765,6739732,0,-68,1336,-95,36,-71,77,-348,-305,-988,-67,1335,-55,101,98,116,-845,-176,-92,-224,0,32752,54.95,0.9781396496422404,56.08,0.989765605724155,4449.5048828125,-7309.85791015625,37.900001525878906,7.818333625793457,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839526276831977,44.82508138020833,-73.16429850260417,-0.48813581040000004,9.590432980800001,-0.681954441,-0.4809573426,9.583254513,-0.394815729,0.04398215715,-0.0867425877125,0.09407294723750001,0.12339438533750001,0.11972920557500001,0.14172028415000001,-0.20184,-0.1769,-0.57304,-0.4901,-0.10208,-0.05336,-0.4845465765,9.586843746900001,-0.538385085,0.08368827124375,0.016493308931250006,0.11789661569375001,-0.34597,-0.13949,-0.3132,-6.59008,0.0,963.56384,55.515
76766,6739747,0,-67,1329,-100,23,-91,81,-342,-330,-1021,-72,1331,-50,93,99,116,-845,-176,-92,-256,0,32752,54.95,0.97807056501357,56.08,0.989824821120158,4449.5048828125,-7309.85791015625,37.900001525878906,7.833288669586182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.983947693066864,44.82508138020833,-73.16429850260417,-0.4809573426,9.5401837062,-0.71784678,-0.5168496816,9.554540641800001,-0.35892339,0.0280997115125,-0.1111771194625,0.09895985358750001,0.1136205726375,0.12095093216250001,0.14172028415000001,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.4989035121,9.547362174,-0.538385085,0.070860142075,0.0048869063500000046,0.12034006886875001,-0.34423,-0.14674,-0.32277,-7.53152,0.0,963.56384,55.515
76767,6739763,0,-61,1333,-102,23,-86,85,-342,-330,-1021,-68,1336,-49,106,89,120,-845,-176,-92,-224,0,32752,54.95,0.9780804342462374,56.08,0.9897261287934864,4449.5048828125,-7309.85791015625,37.900001525878906,7.826642036437988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839032815198618,44.82508138020833,-73.16429850260417,-0.43788653580000003,9.5688975774,-0.7322037156000001,-0.48813581040000004,9.590432980800001,-0.35174492220000003,0.0280997115125,-0.105068486525,0.1038467599375,0.129503018275,0.1087336662875,0.1466071905,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.46301117310000006,9.5796652791,-0.5419743189,0.07880136489375,0.0018325898812499991,0.12522697521875,-0.34423,-0.14674,-0.32277,-6.59008,0.0,963.56384,55.515
76768,6739778,0,-64,1333,-96,31,-77,86,-342,-330,-1021,-75,1331,-50,101,99,124,-845,-176,-92,-288,0,32752,54.95,0.9779126572908956,56.09,0.9898050826548236,4449.5048828125,-7309.85791015625,37.900001525878906,7.819441318511963,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9838588699728597,44.82508138020833,-73.16429850260417,-0.4594219392,9.5688975774,-0.6891329088,-0.538385085,9.554540641800001,-0.35892339,0.0378735242125,-0.09407294723750001,0.105068486525,0.12339438533750001,0.12095093216250001,0.15149409685,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.49890351210000006,9.5617191096,-0.5240281494,0.080633954775,0.0134389924625,0.12828129168750002,-0.34423,-0.14674,-0.32277,-8.47296,0.0,963.56384,55.52
76769,6739793,0,-66,1332,-102,39,-87,82,-342,-330,-1021,-69,1336,-54,97,108,121,-845,-176,-92,-208,0,32752,54.94,0.9780409573155688,56.09,0.9897952134221564,4449.5048828125,-7309.85791015625,37.900001525878906,7.841043472290039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839180853688626,44.82508138020833,-73.16429850260417,-0.4737788748,9.5617191096,-0.7322037156000001,-0.4953142782,9.590432980800001,-0.3876372612,0.047647336912500005,-0.1062902131125,0.100181580175,0.11850747898750001,0.13194647145000002,0.1478289170875,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.4845465765,9.5760760452,-0.5599204884000001,0.08307740795000002,0.012828129168750008,0.12400524863125001,-0.34423,-0.14674,-0.32277,-6.11936,0.0,963.56384,55.515
76770,6739809,0,-66,1328,-100,27,-78,86,-342,-330,-1021,-64,1328,-54,101,111,124,-845,-176,-92,-128,0,32752,54.96,0.9781495188749076,56.09,0.9896866518628176,4449.5048828125,-7309.85791015625,37.900001525878906,7.833842754364014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839180853688626,44.82508138020833,-73.16429850260417,-0.4737788748,9.533005238400001,-0.71784678,-0.4594219392,9.533005238400001,-0.3876372612,0.032986617862500005,-0.09529467382500001,0.105068486525,0.12339438533750001,0.13561165121250002,0.15149409685,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.46660040700000005,9.533005238400001,-0.5527420206,0.0781905016,0.020158488693750004,0.12828129168750002,-0.34423,-0.14674,-0.32277,-3.76576,0.0,963.56384,55.525000000000006
76771,6739824,0,-64,1336,-88,34,-75,86,-342,-330,-1021,-65,1328,-52,102,106,120,-845,-176,-92,-208,0,32752,54.95,0.9780014803849,56.08,0.9897952134221564,4449.5048828125,-7309.85791015625,37.900001525878906,7.826642036437988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9838983469035282,44.82508138020833,-73.16429850260417,-0.4594219392,9.590432980800001,-0.6317051664000001,-0.466600407,9.533005238400001,-0.3732803256,0.041538703975,-0.09162949406250001,0.105068486525,0.12461611192500001,0.129503018275,0.1466071905,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.4630111731,9.561719109600002,-0.502492746,0.08307740795,0.01893676210624999,0.12583783851250002,-0.34423,-0.14674,-0.32277,-6.11936,0.0,963.56384,55.515
76772,6739840,0,-66,1334,-94,32,-73,90,-342,-330,-1021,-64,1333,-48,111,104,126,-845,-176,-92,-192,0,32752,54.97,0.9780113496175672,56.09,0.9898642980508264,4449.5048828125,-7309.85791015625,37.900001525878906,7.822210788726807,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839378238341968,44.82508138020833,-73.16429850260417,-0.4737788748,9.5760760452,-0.6747759732,-0.4594219392,9.5688975774,-0.3445664544,0.0390952508,-0.0891860408875,0.109955392875,0.13561165121250002,0.1270595651,0.153937550025,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.46660040700000005,9.5724868113,-0.5096712138,0.08735345100625001,0.018936762106249998,0.13194647145,-0.34423,-0.14674,-0.32277,-5.64864,0.0,963.56384,55.53
76773,6739855,0,-60,1328,-93,26,-60,88,-342,-330,-1021,-64,1332,-47,109,112,138,-845,-176,-92,-240,0,32752,54.94,0.9781495188749076,56.08,0.9897853441894892,4449.5048828125,-7309.85791015625,37.900001525878906,7.815564155578613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839674315321985,44.82508138020833,-73.16429850260417,-0.430708068,9.533005238400001,-0.6675975054000001,-0.4594219392,9.5617191096,-0.3373879866,0.031764891275,-0.07330359525,0.1075119397,0.13316819803750002,0.13683337780000002,0.168598269075,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.4450650036,9.547362174,-0.502492746,0.08246654465625,0.031764891275000005,0.13805510438750002,-0.34423,-0.14674,-0.32277,-7.0608,0.0,963.56384,55.51
76774,6739870,0,-64,1334,-100,39,-79,89,-342,-330,-1021,-64,1333,-47,101,109,132,-845,-176,-92,-256,0,32752,54.95,0.9781100419442388,56.08,0.989765605724155,4449.5048828125,-7309.85791015625,37.900001525878906,7.836058616638184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.9839378238341969,44.82508138020833,-73.16429850260417,-0.4594219392,9.5760760452,-0.71784678,-0.4594219392,9.5688975774,-0.3373879866,0.047647336912500005,-0.09651640041250001,0.1087336662875,0.12339438533750001,0.13316819803750002,0.16126790955,-0.19836,-0.19140000000000001,-0.59218,-0.4901,-0.10208,-0.05336,-0.4594219392,9.5724868113,-0.5276173833,0.08552086112500001,0.018325898812500005,0.13500078791875,-0.34423,-0.14674,-0.32277,-7.53152,0.0,963.56384,55.515
