Loc,time,ax,ay,az,temp,pressure,alt,avalt,avaltdelta,state,wx_raw,wy_raw,wz_raw,pyro
1699584, 342640, -0.07, -1.02, -0.06, 1336.98, 102747.63, 1.00, 0.93, 0, 1, 14, 38, -9, 34
1699648, 342675, -0.07, -1.02, -0.06, 1336.78, 102745.67, 1.16, 0.93, 0, 1, 7, 51, -15, 34
1699712, 342710, -0.07, -1.02, -0.06, 1336.86, 102748.83, 0.90, 0.94, 0, 1, 9, 63, -20, 34
1699776, 342745, -0.07, -1.02, -0.06, 1336.55, 102748.94, 0.89, 0.95, 0, 1, 10, 51, -12, 34
1699840, 342775, -0.07, -1.02, -0.06, 1336.49, 102745.03, 1.21, 0.96, 0, 1, 11, 39, -14, 34
1699904, 342808, -0.07, -1.02, -0.06, 1336.55, 102750.67, 0.75, 0.98, 0, 1, 15, 30, -15, 34
1699968, 342841, -0.07, -1.02, -0.06, 1336.78, 102750.89, 0.73, 0.96, 0, 1, 12, 29, -12, 34
1700032, 342874, -0.07, -1.02, -0.06, 1336.60, 102747.94, 0.97, 0.96, 0, 1, 7, 26, -16, 34
1700096, 342906, -0.07, -1.02, -0.06, 1336.92, 102748.38, 0.94, 0.97, 0, 1, 7, 57, -21, 34
1700160, 342939, -0.07, -1.02, -0.06, 1336.89, 102747.44, 1.01, 0.97, 0, 1, 7, 70, -18, 34
1700224, 342974, -0.07, -1.02, -0.06, 1336.86, 102748.53, 0.92, 0.97, 0, 1, 5, 39, -18, 34
1700288, 343009, -0.07, -1.02, -0.06, 1336.78, 102747.42, 1.01, 0.96, 0, 1, 9, 56, -16, 34
1700352, 343044, -0.07, -1.02, -0.06, 1336.43, 102747.52, 1.01, 0.96, 0, 1, 10, 49, -15, 34
1700416, 343074, -0.07, -1.02, -0.06, 1336.43, 102749.25, 0.86, 0.97, 0, 1, 10, 40, -18, 34
1700480, 343107, -0.07, -1.02, -0.06, 1336.72, 102749.35, 0.86, 0.94, 0, 1, 13, 63, -15, 34
1700544, 343140, -0.07, -1.02, -0.06, 1336.72, 102747.89, 0.98, 0.93, 0, 1, 4, 62, -19, 34
1700608, 343173, -0.07, -1.02, -0.06, 1336.86, 102745.05, 1.21, 0.95, 0, 1, 5, 59, -17, 34
1700672, 343205, -0.07, -1.02, -0.06, 1337.09, 102745.02, 1.21, 0.97, 0, 1, 6, 57, -13, 34
1700736, 343238, -0.07, -1.02, -0.06, 1337.03, 102752.97, 0.56, 0.96, 0, 1, 9, 38, -10, 34
1700800, 343273, -0.08, -1.02, -0.06, 1337.03, 102750.94, 0.72, 0.94, 0, 1, 6, 40, -12, 34
1700864, 343308, -0.07, -1.02, -0.06, 1336.92, 102750.41, 0.77, 0.94, 0, 1, 13, 51, -14, 34
1700928, 343343, -0.08, -1.02, -0.06, 1336.69, 102747.55, 1.00, 0.93, 0, 1, 9, 60, -17, 34
1700992, 343373, -0.07, -1.02, -0.06, 1336.89, 102743.67, 1.32, 0.93, 0, 1, 4, 58, -14, 34
1701056, 343406, -0.07, -1.02, -0.06, 1336.72, 102744.71, 1.24, 0.95, 0, 1, 9, 49, -19, 34
1701120, 343441, -0.07, -1.02, -0.06, 1336.89, 102748.02, 0.96, 0.96, 0, 1, 15, 29, -18, 34
1701184, 343472, -0.07, -1.02, -0.06, 1336.86, 102746.22, 1.11, 0.95, 0, 1, 10, 39, -15, 34
1701248, 343504, -0.07, -1.02, -0.06, 1337.26, 102747.42, 1.01, 0.97, 0, 1, 8, 41, -13, 34
1701312, 343537, -0.07, -1.02, -0.06, 1337.06, 102750.71, 0.75, 0.98, 0, 1, 10, 51, -17, 34
1701376, 343572, -0.07, -1.02, -0.06, 1336.95, 102746.41, 1.10, 0.97, 0, 1, 9, 58, -17, 34
1701440, 343607, -0.07, -1.02, -0.06, 1336.83, 102748.19, 0.95, 0.98, 0, 1, 5, 53, -15, 34
1701504, 343640, -0.07, -1.02, -0.06, 1336.92, 102747.21, 1.03, 0.98, 0, 1, 12, 38, -12, 34
1701568, 343670, -0.07, -1.02, -0.06, 1336.98, 102748.78, 0.90, 0.98, 0, 1, 10, 34, -16, 34
1701632, 343703, -0.07, -1.02, -0.06, 1336.92, 102748.96, 0.89, 0.98, 0, 1, 12, 45, -13, 34
1701696, 343738, -0.07, -1.02, -0.06, 1337.01, 102745.08, 1.21, 0.97, 0, 1, 12, 56, -13, 34
1701760, 343769, -0.07, -1.02, -0.06, 1336.86, 102748.53, 0.92, 0.99, 0, 1, 7, 69, -14, 34
1701824, 343801, -0.07, -1.02, -0.06, 1337.09, 102748.21, 0.95, 0.99, 0, 1, 8, 59, -21, 34
1701888, 343836, -0.07, -1.02, -0.06, 1337.01, 102750.88, 0.73, 0.99, 0, 1, 8, 53, -18, 34
