,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg,baro_height
97116,10268446,0,0,-1359,51,-14,33,72,613,452,-1696,-12,-1373,25,42,-20,-8,675,1826,735,336,-144,336,24.99,0.9942857142857144,25.01,1.0039674315321985,3904.7119140625,-7552.45556640625,14.899999618530272,12.8416748046875,0,0.0,0.0,0.0,0.0,17.18827204702137,0.0,0.0,-17.537111440110113,0.0,0.0,0.0,0.0,13,0.9991265729089565,39.078531901041664,-75.87425944010417,0.0,-9.755537740200001,0.36610185780000004,-0.0861416136,-9.8560362894,0.179461695,-0.017104172225000002,0.0403169773875,0.0879643143,0.051312516675,-0.024434531750000002,-0.0097738127,0.35554,0.26216,-0.98368,0.3915,1.05908,0.4263,-0.0430708068,-9.8057870148,0.2727817764,0.017104172225,0.00794122281875,0.0390952508,0.37352,0.66062,-0.27869,9.88512,-4.23648,9.88512,25.0,-55.38805043207367
97117,10268552,0,4,-1356,46,-6,98,102,615,469,-1739,-3,-1370,28,47,45,30,700,1812,702,384,-160,368,24.99,0.9937922526523564,25.01,1.0034937083641746,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,18.01562455892749,0.0,0.0,-17.06895040543799,0.0,0.0,0.0,0.0,13,0.9986429805082655,39.078531901041664,-75.87425944010417,0.0287138712,-9.7340023368,0.3302095188,-0.0215354034,-9.834500886,0.20099709840000002,-0.007330359525,0.11972920557500001,0.12461611192500001,0.0574211496125,0.0549776964375,0.036651797625,0.3567,0.27202,-1.00862,0.406,1.0509600000000001,0.40716,0.0035892339000000006,-9.7842516114,0.26560330860000003,0.02504539504375,0.08735345100625,0.080633954775,0.38135,0.66149,-0.30073000000000005,11.29728,-4.7072,10.82656,25.0,-51.16989074125763
97118,10268657,0,1,-1359,60,2,51,91,615,469,-1739,-6,-1375,44,53,-14,6,700,1812,702,448,-96,400,24.99,0.9939698988403652,25.01,1.003878608438194,3904.7119140625,-7552.45556640625,14.899999618530272,12.877124786376951,0,0.0,0.0,0.0,0.0,18.05611079474822,0.0,0.0,-17.073013602675125,0.0,0.0,0.0,0.0,13,0.9989242536392797,39.078531901041664,-75.87425944010417,0.0071784678,-9.755537740200001,0.430708068,-0.0430708068,-9.870393225,0.31585258320000004,0.002443453175,0.062308055962500004,0.1111771194625,0.0647515091375,-0.017104172225000002,0.007330359525,0.3567,0.27202,-1.00862,0.406,1.0509600000000001,0.40716,-0.0179461695,-9.812965482600001,0.3732803256,0.03359748115625,0.022601941868750003,0.05925373949375,0.38135,0.66149,-0.30073000000000005,13.18016,-2.82432,11.768,25.0,-53.62360588150487
97119,10268763,0,8,-1350,60,14,107,95,586,444,-1736,-4,-1380,35,66,35,3,690,1835,730,368,-224,320,24.99,0.994019245003701,25.01,1.0036516160868492,3904.7119140625,-7552.45556640625,14.899999618530272,12.877124786376951,0,0.0,0.0,0.0,0.0,17.799696734369736,0.0,0.0,-17.23409525502019,0.0,0.0,0.0,0.0,13,0.9988354305452751,39.078531901041664,-75.87425944010417,0.0574277424,-9.69093153,0.430708068,-0.0287138712,-9.906285564000001,0.251246373,0.017104172225000002,0.13072474486250002,0.1160640258125,0.080633954775,0.0427604305625,0.0036651797625,0.33988,0.25752,-1.00688,0.4002,1.0643,0.4234,0.0143569356,-9.798608547,0.3409772205,0.048869063500000004,0.08674258771250001,0.0598646027875,0.37004000000000004,0.66091,-0.29174,10.82656,-6.59008,9.4144,25.0,-52.84883732005591
97120,10268868,0,8,-1358,47,0,75,76,586,444,-1736,2,-1374,28,61,10,-17,690,1835,730,384,-160,352,24.97,0.994029114236368,25.01,1.0039279546015298,3904.7119140625,-7552.45556640625,14.899999618530272,12.877124786376951,0,0.0,0.0,0.0,0.0,17.58090177010833,0.0,0.0,-17.363415063219424,0.0,0.0,0.0,0.0,13,0.9989785344189489,39.078531901041664,-75.87425944010417,0.0574277424,-9.7483592724,0.3373879866,0.0143569356,-9.8632147572,0.20099709840000002,0.0,0.09162949406250001,0.09285122065000001,0.0745253218375,0.012217265875000001,-0.0207693519875,0.33988,0.25752,-1.00688,0.4002,1.0643,0.4234,0.035892339,-9.8057870148,0.2691925425,0.03726266091875,0.05192337996875,0.03604093433125,0.37004000000000004,0.66091,-0.29174,11.29728,-4.7072,10.35584,24.990000000000002,-54.0920645722189
97121,10268973,0,-12,-1357,36,18,72,82,610,460,-1696,-25,-1378,24,58,4,-12,722,1827,734,416,-128,368,24.98,0.9939402911423636,25.01,1.0034443622008389,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,18.115888195695412,0.0,0.0,-17.067273040299526,0.0,0.0,0.0,0.0,13,0.9986923266716012,39.078531901041664,-75.87425944010417,-0.0861416136,-9.7411808046,0.2584248408,-0.179461695,-9.8919286284,0.1722832272,0.021991078575,0.0879643143,0.100181580175,0.07086014207500001,0.00488690635,-0.01466071905,0.3538,0.2668,-0.98368,0.41876,1.05966,0.42572,-0.13280165430000002,-9.8165547165,0.215354034,0.046425610325000005,0.046425610325,0.04276043056250001,0.38628,0.66323,-0.27898,12.23872,-3.76576,10.82656,24.995,-51.59802500456658
97122,10269079,0,3,-1358,46,-11,46,80,610,460,-1696,-4,-1376,25,35,-4,-7,722,1827,734,432,-160,448,24.99,0.994019245003701,25.01,1.003829262274858,3904.7119140625,-7552.45556640625,14.899999618530272,12.8416748046875,0,0.0,0.0,0.0,0.0,17.987034192229615,0.0,0.0,-17.161139354997154,0.0,0.0,0.0,0.0,13,0.9989242536392795,39.078531901041664,-75.87425944010417,0.0215354034,-9.7483592724,0.3302095188,-0.0287138712,-9.8775716928,0.179461695,-0.0134389924625,0.056199423025,0.09773812700000001,0.0427604305625,-0.00488690635,-0.008552086112500001,0.3538,0.2668,-0.98368,0.41876,1.05966,0.42572,-0.0035892339000000006,-9.8129654826,0.2548356069,0.01466071905,0.0256562583375,0.044593020443750006,0.38628,0.66323,-0.27898,12.70944,-4.7072,13.18016,25.0,-53.623605881499785
97123,10269184,0,20,-1356,45,-14,63,128,585,471,-1713,13,-1380,21,40,4,54,717,1817,734,384,-48,416,24.99,0.9939501603750308,25.02,1.0034641006661733,3904.7119140625,-7552.45556640625,14.899999618530272,12.89484977722168,0,0.0,0.0,0.0,0.0,18.446418441391533,0.0,0.0,-16.921982431247194,0.0,0.0,0.0,0.0,13,0.9987071305206021,39.078531901041664,-75.87425944010417,0.143569356,-9.7340023368,0.323031051,0.0933200814,-9.906285564000001,0.1507478238,-0.017104172225000002,0.0769687750125,0.1563810032,0.048869063500000004,0.00488690635,0.06597323572500001,0.3393,0.27318,-0.99354,0.41586,1.05386,0.42572,0.1184447187,-9.8201439504,0.2368894374,0.0158824456375,0.04092784068125,0.1111771194625,0.37758,0.66352,-0.28391,11.29728,-1.41216,12.23872,25.005,-51.72958238788969
97124,10269290,0,5,-1355,51,-8,43,94,585,471,-1713,-10,-1374,35,40,-11,14,717,1817,734,416,-240,336,25.0,0.9940488527017024,25.01,1.0036812237848507,3904.7119140625,-7552.45556640625,14.899999618530272,12.89484977722168,0,0.0,0.0,0.0,0.0,17.678825899451667,0.0,0.0,-17.370154688077314,0.0,0.0,0.0,0.0,13,0.9988650382432765,39.078531901041664,-75.87425944010417,0.035892339,-9.726823869,0.36610185780000004,-0.071784678,-9.8632147572,0.251246373,-0.0097738127,0.0525342432625,0.114842299225,0.048869063500000004,-0.0134389924625,0.017104172225000002,0.3393,0.27318,-0.99354,0.41586,1.05386,0.42572,-0.0179461695,-9.7950193131,0.3086741154,0.0195476254,0.0195476254,0.065973235725,0.37758,0.66352,-0.28391,12.23872,-7.0608,9.88512,25.005000000000003,-53.10955472515509
97125,10269395,0,12,-1353,35,13,103,83,597,485,-1717,6,-1376,15,63,48,-1,726,1838,753,384,-128,336,25.0,0.994147545028374,25.0,1.00413520848754,3904.7119140625,-7552.45556640625,14.899999618530272,12.859399795532228,0,0.0,0.0,0.0,0.0,16.630430021363743,0.0,0.0,-17.950572687795326,0.0,0.0,0.0,0.0,13,0.9991413767579569,39.078531901041664,-75.87425944010417,0.0861416136,-9.7124669334,0.251246373,0.0430708068,-9.8775716928,0.107677017,0.0158824456375,0.1258378385125,0.1014033067625,0.0769687750125,0.0586428762,-0.0012217265875,0.34626,0.2813,-0.99586,0.42108,1.06604,0.43674,0.0646062102,-9.7950193131,0.179461695,0.046425610325000005,0.09224035735625,0.0500907900875,0.38367,0.67367,-0.27956,11.29728,-3.76576,9.88512,25.0,-55.519672375674546
