,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_pres_avg,baro_temp_avg
0,2563,0,-1030,-90,-964,12,31,34,-312,-491,486,-1007,-88,-893,98,176,-439,-597,-411,816,48,256,-80,29.0,0.9875943745373796,32.25,0.9985097458672588,0.0,0.0,0.0,3.9592344760894775,0,0.0,0.0,0.0,0.0,-0.0531671347208023,0.0,0.0,-0.0575134905029463,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.393821834000001,-0.646062102,-6.9200429592,-7.2287170746000005,-0.6317051664000001,-6.4103717454,0.003665191416,0.009468411158,0.010384709011999999,0.029932396564,0.053756140768,-0.134084919302,-0.18096,-0.28478,0.28188,-0.34626,-0.23838,0.47328,-7.3112694543000005,-0.6388836342,-6.6652073522999995,0.016798793989999998,0.031612275963,-0.061850105145,-0.26361,-0.26158,0.37758,1.41216,7.53152,-2.3536,0.9930520602023192,30.625
1,2578,0,-1037,-91,-963,7,26,41,-312,-491,486,-1003,-96,-894,92,175,-431,-597,-411,816,48,272,-32,29.01,0.9878312361213916,32.24,0.998282753515914,0.0,0.0,0.0,3.962280750274658,0,0.0,0.0,0.0,0.0,-0.1067832967326946,0.0,0.0,-0.1145794884499977,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.4440711086,-0.6532405698,-6.912864491400001,-7.2000032034000006,-0.6891329088,-6.4175502132,0.0021380283259999997,0.007941248068,0.012522737337999999,0.028099800855999998,0.05345070815,-0.13164145835799998,-0.18096,-0.28478,0.28188,-0.34626,-0.23838,0.47328,-7.322037156,-0.6711867393,-6.6652073523,0.015118914591,0.030695978109,-0.05955936050999999,-0.26361,-0.26158,0.37758,1.41216,8.00224,-0.94144,0.9930569948186527,30.625
2,2593,0,-1031,-89,-969,16,26,31,-312,-491,486,-1000,-97,-892,93,172,-448,-597,-411,816,32,272,-80,29.02,0.9876437207007156,32.26,0.9985294843325933,0.0,0.0,0.0,3.9680967330932617,0,0.0,0.0,0.0,0.0,-0.1679622474144874,0.0,0.0,-0.1789005586405163,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.4010003018,-0.6388836342,-6.9559352982,-7.1784678,-0.6963113766,-6.403193277600001,0.004886921888,0.007941248068,0.009468411158,0.028405233473999997,0.052534410296,-0.13683381286399998,-0.18096,-0.28478,0.28188,-0.34626,-0.23838,0.47328,-7.2897340509,-0.6675975054000001,-6.6795642879,0.016646077680999998,0.030237829182,-0.06368270085299998,-0.26361,-0.26158,0.37758,0.94144,8.00224,-2.3536,0.9930866025166545,30.64
3,2609,0,-1027,-83,-963,9,9,33,-312,-491,486,-1005,-95,-887,93,168,-451,-597,-411,816,96,176,-16,29.03,0.9875154206760424,32.26,0.9983814458425856,0.0,0.0,0.0,3.961450099945069,0,0.0,0.0,0.0,0.0,-0.1880269402561505,0.0,0.0,-0.1977026361407968,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3722864306,-0.5958128274000001,-6.912864491400001,-7.214360139,-0.681954441,-6.367300938600001,0.002748893562,0.002748893562,0.010079276394,0.028405233473999997,0.051312679824,-0.137750110718,-0.18096,-0.28478,0.28188,-0.34626,-0.23838,0.47328,-7.2933232848,-0.6388836342,-6.640082715,0.015577063518,0.027030786693,-0.063835417162,-0.26361,-0.26158,0.37758,2.82432,5.17792,-0.47072,0.9929484332593139,30.645
4,2624,0,-1028,-85,-961,10,7,39,-312,-491,486,-1005,-95,-895,90,165,-439,-597,-411,816,48,288,-112,29.03,0.98773254379472,32.28,0.9984702689365902,0.0,0.0,0.0,3.961450099945069,0,0.0,0.0,0.0,0.0,-0.2519234824409037,0.0,0.0,-0.2636146823743399,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3794648984,-0.610169763,-6.8985075558,-7.214360139,-0.681954441,-6.424728681,0.0030543261799999997,0.0021380283259999997,0.011911872102,0.02748893562,0.050396381969999994,-0.134084919302,-0.18096,-0.28478,0.28188,-0.34626,-0.23838,0.47328,-7.2969125187,-0.646062102,-6.6616181184,0.0152716309,0.026267205147999996,-0.061086523600000005,-0.26361,-0.26158,0.37758,1.41216,8.47296,-3.29504,0.9931014063656551,30.655
5,2639,0,-1026,-88,-962,3,-13,42,-312,-491,486,-999,-94,-885,92,144,-433,-597,-411,816,48,192,32,29.04,0.9877917591907228,32.28,0.9982531458179128,0.0,0.0,0.0,3.9586806297302246,0,0.0,0.0,0.0,0.0,-0.291763934282737,0.0,0.0,-0.3024345746162143,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.365107962800001,-0.6317051664000001,-6.9056860236,-7.171289332200001,-0.6747759732,-6.352944003,0.000916297854,-0.003970624034,0.012828169956,0.028099800855999998,0.043982296992,-0.132252323594,-0.18096,-0.28478,0.28188,-0.34626,-0.23838,0.47328,-7.2681986475,-0.6532405698000001,-6.6293150133,0.014508049354999998,0.020005836479,-0.059712076818999996,-0.26361,-0.26158,0.37758,1.41216,5.64864,0.94144,0.9930224525043179,30.66
6,2655,0,-1029,-92,-959,12,-8,35,-312,-491,486,-1006,-92,-890,98,148,-446,-597,-411,816,128,224,-32,29.03,0.9878904515173944,32.28,0.9983024919812484,0.0,0.0,0.0,3.970312356948853,0,0.0,0.0,0.0,0.0,-0.3522165004607446,0.0,0.0,-0.3629216986096578,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3866433662,-0.6604190376,-6.884150620200001,-7.2215386068,-0.6604190376,-6.388836342,0.003665191416,-0.002443460944,0.010690141629999999,0.029932396564,0.045204027464,-0.136222947628,-0.18096,-0.28478,0.28188,-0.34626,-0.23838,0.47328,-7.3040909865,-0.6604190376,-6.6364934811000005,0.016798793989999998,0.02138028326,-0.06276640299899999,-0.26361,-0.26158,0.37758,3.76576,6.59008,-0.94144,0.9930964717493214,30.655
7,2670,0,-1029,-94,-967,14,-28,43,-312,-491,486,-1007,-93,-889,96,128,-434,-642,-463,793,64,272,-32,29.05,0.9877128053293855,32.29,0.9985985689612632,0.0,0.0,0.0,3.949541330337525,0,0.0,0.0,0.0,0.0,-0.4286100783598968,0.0,0.0,-0.4396715165831645,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3866433662,-0.6747759732,-6.9415783626000005,-7.2287170746000005,-0.6675975054000001,-6.3816578742,0.004276056651999999,-0.008552113303999999,0.013133602574,0.029321531328,0.039095375104,-0.132557756212,-0.18096,-0.28478,0.28188,-0.37236,-0.26854,0.45994,-7.3076802204,-0.6711867393000001,-6.6616181184,0.016798793989999998,0.0152716309,-0.059712076819,-0.27666,-0.27666,0.37091,1.88288,8.00224,-0.94144,0.9931556871453244,30.67
8,2686,0,-1029,-92,-963,23,-27,37,-312,-491,486,-1006,-94,-895,86,123,-429,-642,-463,793,96,288,-112,29.05,0.9877128053293855,32.3,0.99840118430792,0.0,0.0,0.0,3.963111639022827,0,0.0,0.0,0.0,0.0,-0.4749718077203483,0.0,0.0,-0.4826890543794283,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.3866433662,-0.6604190376,-6.912864491400001,-7.2215386068,-0.6747759732,-6.424728681,0.0070249502139999994,-0.008246680686,0.011301006866,0.026267205148,0.037568212014,-0.131030593122,-0.18096,-0.28478,0.28188,-0.37236,-0.26854,0.45994,-7.3040909865,-0.6675975054000001,-6.668796586200001,0.016646077680999998,0.014660765664,-0.059864793128,-0.27666,-0.27666,0.37091,2.82432,8.47296,-3.29504,0.9930569948186527,30.674999999999997
9,2701,0,-1031,-84,-961,2,-22,40,-300,-500,479,-1006,-93,-896,89,134,-444,-642,-463,793,48,224,-48,29.06,0.9876338514680484,32.3,0.9984110535405872,0.0,0.0,0.0,3.962003946304321,0,0.0,0.0,0.0,0.0,-0.510387065681709,0.0,0.0,-0.513167245949383,0.0,0.0,0.0,0.0,10,0.0,0.0,-7.4010003018,-0.6029912952,-6.8985075558,-7.2215386068,-0.6675975054000001,-6.431907148800001,0.000610865236,-0.006719517596,0.012217304719999999,0.027183503002,0.040927970811999996,-0.13561208239199998,-0.174,-0.29,0.27782,-0.37236,-0.26854,0.45994,-7.3112694543,-0.6352944003000001,-6.6652073523,0.013897184118999999,0.017104226607999998,-0.06169738883599999,-0.27318,-0.27927,0.36888,1.41216,6.59008,-1.41216,0.9930224525043179,30.68
