#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 8069, 2,    -0.14, 3,   boost,   21.51, 102120.00,  -65.97,   22.14,   30.95, 22.7, 4.06, 4.12, 4.06
6, 8069, 2,    -0.13, 3,   boost,   22.63, 102125.00,  -66.38,   21.73,   31.39, 22.7, 4.09, 4.09, 4.06
6, 8069, 2,    -0.12, 3,   boost,   23.78, 102109.00,  -65.06,   23.05,   31.83, 22.7, 4.09, 4.11, 4.08
6, 8069, 2,    -0.11, 3,   boost,   24.98, 102100.00,  -64.31,   23.80,   32.27, 22.7, 4.08, 4.09, 4.05
6, 8069, 2,    -0.10, 3,   boost,   26.21, 102094.00,  -63.82,   24.30,   32.72, 22.7, 4.09, 4.09, 4.06
6, 8069, 2,    -0.09, 3,   boost,   27.48, 102072.00,  -62.00,   26.12,   33.18, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,    -0.08, 3,   boost,   28.78, 102091.00,  -63.57,   24.54,   33.64, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,    -0.07, 3,   boost,   30.10, 102068.00,  -61.67,   26.45,   34.10, 22.7, 4.08, 4.11, 4.06
6, 8069, 2,    -0.06, 3,   boost,   31.45, 102082.00,  -62.82,   25.29,   34.57, 22.7, 4.09, 4.09, 4.06
6, 8069, 2,    -0.05, 3,   boost,   32.83, 102074.00,  -62.16,   25.95,   35.04, 22.7, 4.08, 4.11, 4.06
6, 8069, 2,    -0.04, 3,   boost,   34.21, 102066.00,  -61.50,   26.61,   35.52, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,    -0.03, 3,   boost,   35.61, 102057.00,  -60.76,   27.36,   36.00, 22.7, 4.06, 4.11, 4.06
6, 8069, 2,    -0.02, 3,   boost,   37.01, 102029.00,  -58.44,   29.67,   36.49, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,    -0.01, 3,   boost,   38.41, 102042.00,  -59.51,   28.60,   36.98, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.00, 3,   boost,   39.79, 102044.00,  -59.68,   28.43,   37.48, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.01, 3,   boost,   41.17, 102039.00,  -59.27,   28.85,   37.98, 22.6, 4.08, 4.09, 4.06
6, 8069, 2,     0.02, 3,   boost,   42.52, 102035.00,  -58.93,   29.18,   38.48, 22.7, 4.09, 4.11, 4.06
6, 8069, 2,     0.03, 3,   boost,   43.84, 102002.00,  -56.20,   31.91,   38.99, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.04, 3,   boost,   45.13, 101987.00,  -54.96,   33.15,   39.50, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.05, 3,   boost,   46.38, 101990.00,  -55.21,   32.90,   40.02, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.06, 3,   boost,   47.57, 101973.00,  -53.80,   34.31,   40.54, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.07, 3,   boost,   48.71, 101982.00,  -54.55,   33.57,   41.07, 22.7, 4.08, 4.09, 4.06
6, 8069, 2,     0.08, 3,   boost,   49.79, 101984.00,  -54.71,   33.40,   41.60, 22.7, 4.08, 4.12, 4.08
6, 8069, 2,     0.09, 3,   boost,   50.81, 101965.00,  -53.14,   34.97,   42.13, 22.7, 4.09, 4.08, 4.08
6, 8069, 2,     0.10, 3,   boost,   51.76, 101970.00,  -53.55,   34.56,   42.67, 22.7, 4.09, 4.09, 4.09
6, 8069, 2,     0.11, 3,   boost,   52.63, 101936.00,  -50.74,   37.38,   43.21, 22.7, 4.08, 4.12, 4.08
6, 8069, 2,     0.12, 3,   boost,   53.44, 101936.00,  -50.74,   37.38,   43.76, 22.7, 4.05, 4.11, 4.08
6, 8069, 2,     0.13, 3,   boost,   54.16, 101955.00,  -52.31,   35.80,   44.31, 22.6, 4.09, 4.09, 4.03
6, 8069, 2,     0.14, 3,   boost,   54.82, 101932.00,  -50.41,   37.71,   44.86, 22.6, 4.08, 4.09, 4.05
6, 8069, 2,     0.15, 3,   boost,   55.40, 101916.00,  -49.08,   39.03,   45.42, 22.6, 4.09, 4.12, 4.08
6, 8069, 2,     0.16, 3,   boost,   55.91, 101912.00,  -48.75,   39.36,   45.98, 22.6, 4.08, 4.09, 4.09
6, 8069, 2,     0.17, 3,   boost,   56.36, 101909.00,  -48.50,   39.61,   46.55, 22.6, 4.08, 4.11, 4.06
6, 8069, 2,     0.18, 3,   boost,   56.74, 101902.00,  -47.92,   40.19,   47.11, 22.6, 4.08, 4.09, 4.06
6, 8069, 2,     0.19, 3,   boost,   57.06, 101906.00,  -48.25,   39.86,   47.68, 22.6, 4.08, 4.11, 4.05
6, 8069, 2,     0.20, 3,   boost,   57.33, 101903.00,  -48.00,   40.11,   48.26, 22.6, 4.09, 4.11, 4.06
6, 8069, 2,     0.21, 3,   boost,   57.54, 101888.00,  -46.76,   41.35,   48.83, 22.6, 4.08, 4.11, 4.05
6, 8069, 2,     0.22, 3,   boost,   57.72, 101896.00,  -47.42,   40.69,   49.41, 22.6, 4.08, 4.12, 4.09
6, 8069, 2,     0.23, 3,   boost,   57.86, 101896.00,  -47.42,   40.69,   50.00, 22.6, 4.09, 4.09, 4.06
6, 8069, 2,     0.24, 3,   boost,   57.97, 101876.00,  -45.77,   42.35,   50.58, 22.6, 4.12, 4.09, 4.06
6, 8069, 2,     0.25, 3,   boost,   58.06, 101849.00,  -43.53,   44.59,   51.17, 22.6, 4.08, 4.08, 4.05
