#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 6357, 11,    -0.62, 3,   boost,   10.51, 102435.00,  -91.99,    7.09,   14.89, 16.7, 4.10, 4.10, 4.07
6, 6357, 11,    -0.61, 3,   boost,   11.06, 102435.00,  -91.99,    7.09,   15.10, 16.7, 4.10, 4.10, 4.07
6, 6357, 11,    -0.60, 3,   boost,   11.62, 102434.00,  -91.91,    7.18,   15.32, 16.7, 4.10, 4.11, 4.07
6, 6357, 11,    -0.59, 3,   boost,   12.21, 102428.00,  -91.41,    7.67,   15.53, 16.7, 4.06, 4.09, 4.07
6, 6357, 11,    -0.58, 3,   boost,   12.82, 102428.00,  -91.41,    7.67,   15.75, 16.7, 4.10, 4.11, 4.06
6, 6357, 11,    -0.57, 3,   boost,   13.44, 102437.00,  -92.16,    6.93,   15.97, 16.7, 4.09, 4.10, 4.07
6, 6357, 11,    -0.56, 3,   boost,   14.08, 102426.00,  -91.25,    7.84,   16.19, 16.7, 4.10, 4.10, 4.07
6, 6357, 11,    -0.55, 3,   boost,   14.74, 102417.00,  -90.51,    8.58,   16.42, 16.7, 4.10, 4.10, 4.07
6, 6357, 11,    -0.54, 3,   boost,   15.40, 102416.00,  -90.42,    8.66,   16.64, 16.7, 4.10, 4.11, 4.07
6, 6357, 11,    -0.53, 3,   boost,   16.08, 102411.00,  -90.01,    9.07,   16.87, 16.7, 4.10, 4.10, 4.07
6, 6357, 11,    -0.52, 3,   boost,   16.76, 102413.00,  -90.18,    8.91,   17.11, 16.7, 4.11, 4.10, 4.07
6, 6357, 11,    -0.51, 3,   boost,   17.46, 102408.00,  -89.76,    9.32,   17.34, 16.7, 4.10, 4.10, 4.06
6, 6357, 11,    -0.50, 3,   boost,   18.15, 102411.00,  -90.01,    9.07,   17.58, 16.7, 4.09, 4.10, 4.06
6, 6357, 11,    -0.49, 3,   boost,   18.84, 102410.00,  -89.93,    9.16,   17.82, 16.7, 4.10, 4.10, 4.07
6, 6357, 11,    -0.48, 3,   boost,   19.53, 102402.00,  -89.27,    9.82,   18.06, 16.7, 4.06, 4.09, 4.08
6, 6357, 11,    -0.47, 3,   boost,   20.22, 102398.00,  -88.94,   10.15,   18.30, 16.7, 4.10, 4.10, 4.06
