Metadata: 
[0,	0,	0,	0,	0,	0,	0,	0,	
0,	0,	0,	0,	0,	0,	0,	0,	
0,	0,	0,	0,	0,	0,	0,	FF,	
FF,	FF,	FF,	FF,	FF,	FF,	FF,	FF,	
FF,	FF,	FF,	FF,	FF,	FF,	FF,	FF,	
FF,	FF,	FF,	FF,	FF,	FF,	FF,	FF,	
FF,	FF,	FF,	FF,	FF,	FF,	FF,	FF,	
FF,	FF,	FF,	FF,	FF,	FF,	FF,	FF]

Location,state,time,pressure,alt,avgAltitude,velocity,temp,ax,ay,az,wx,wy,wz,cutSense1,cutSense2
0, 0, 0, 0, 0.00, 0.00, 0.00, nan, nan, nan, nan, nan, nan, nan, 65535, 65535
262144, 0, 3483, 100517, -0.03, -0.01, 2.03, 11.61, 0.88, 0.60, 0.00, 23.66, -11.28, 16.74, 231, 228
262208, 1, 3504, 100518, -0.12, 0.01, 2.02, 11.52, 0.84, 0.49, -0.05, 47.07, -5.73, 16.43, 231, 228
262272, 1, 3524, 100515, 0.14, 0.07, 2.01, 11.42, 0.78, 0.42, 0.13, 62.74, -20.37, 7.32, 230, 228
262336, 1, 3545, 100523, -0.53, 0.01, 1.96, 11.34, 0.84, 0.53, 0.03, 56.22, -31.77, 4.63, 230, 228
262400, 1, 3565, 100525, -0.70, -0.07, 1.91, 11.25, 0.87, 0.55, -0.03, 59.30, -24.27, 5.03, 231, 228
262464, 1, 3586, 100521, -0.36, -0.08, 1.91, 11.19, 0.93, 0.61, 0.01, 45.30, -12.96, 24.12, 230, 228
262528, 1, 3606, 100529, -1.04, -0.20, 1.85, 11.11, 0.80, 0.71, 0.23, -18.63, -11.80, 47.10, 231, 228
262592, 1, 3627, 100524, -0.62, -0.23, 1.84, 11.05, 0.92, 0.11, -0.58, -64.51, 8.35, 61.13, 231, 228
262656, 1, 3647, 100522, -0.45, -0.23, 1.79, 10.99, 0.72, 0.50, 0.04, 39.57, 9.82, 56.62, 231, 229
262720, 1, 3667, 100528, -0.95, -0.31, 1.72, 10.94, 0.79, 0.42, -0.00, 39.42, -10.03, 30.12, 231, 228
262784, 1, 3688, 100531, -1.20, -0.43, 1.64, 10.88, 0.84, 0.48, 0.03, 26.55, -17.23, 5.46, 231, 228
262848, 1, 3708, 100525, -0.70, -0.44, 1.64, 10.83, 0.73, 0.58, -0.61, 49.12, -8.38, -6.13, 231, 228
