#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 8069, 5,    -0.14, 3,   boost,   72.84, 100790.00,   44.63,   26.80,  133.61, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,    -0.13, 3,   boost,   76.51, 100757.00,   47.39,   29.56,  135.18, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,    -0.12, 3,   boost,   80.29, 100776.00,   45.80,   27.97,  136.76, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,    -0.11, 3,   boost,   84.18, 100780.00,   45.47,   27.64,  138.35, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,    -0.10, 3,   boost,   88.18, 100797.00,   44.04,   26.22,  139.95, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,    -0.09, 3,   boost,   92.28, 100817.00,   42.37,   24.54,  141.56, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,    -0.08, 3,   boost,   96.46, 100846.00,   39.95,   22.12,  143.19, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,    -0.07, 3,   boost,  100.72, 100891.00,   36.19,   18.36,  144.82, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,    -0.06, 3,   boost,  105.03, 100971.00,   29.51,   11.68,  146.47, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,    -0.05, 3,   boost,  109.39, 101060.00,   22.08,    4.25,  148.12, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,    -0.04, 3,   boost,  113.77, 101059.00,   22.17,    4.34,  149.79, 21.7, 4.02, 4.08, 4.03
6, 8069, 5,    -0.03, 3,   boost,  118.16, 100963.00,   30.18,   12.35,  151.47, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,    -0.02, 3,   boost,  122.54, 100667.00,   54.92,   37.09,  153.15, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,    -0.01, 3,   boost,  126.88, 100173.00,   96.34,   78.51,  154.84, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.00, 3,   boost,  131.16, 100057.00,  106.09,   88.26,  156.54, 21.7, 4.05, 4.05, 4.02
6, 8069, 5,     0.01, 3,   boost,  135.36, 100313.00,   84.58,   66.75,  158.25, 21.7, 4.05, 4.06, 4.02
6, 8069, 5,     0.02, 3,   boost,  139.45, 100494.00,   69.41,   51.58,  159.97, 21.8, 4.03, 4.06, 4.02
6, 8069, 5,     0.03, 3,   boost,  143.41, 100488.00,   69.91,   52.08,  161.70, 21.8, 4.03, 4.06, 4.02
6, 8069, 5,     0.04, 3,   boost,  147.23, 100427.00,   75.02,   57.19,  163.43, 21.8, 4.03, 4.05, 4.02
6, 8069, 5,     0.05, 3,   boost,  150.86, 100379.00,   79.05,   61.22,  165.18, 21.8, 4.05, 4.05, 4.02
6, 8069, 5,     0.06, 3,   boost,  154.30, 100494.00,   69.41,   51.58,  166.92, 21.8, 4.05, 4.05, 4.02
6, 8069, 5,     0.07, 3,   boost,  157.52, 100485.00,   70.16,   52.33,  168.68, 21.8, 4.03, 4.06, 4.03
6, 8069, 5,     0.08, 3,   boost,  160.51, 100397.00,   77.54,   59.71,  170.44, 21.8, 4.06, 4.05, 4.02
6, 8069, 5,     0.09, 3,   boost,  163.26, 100277.00,   87.61,   69.78,  172.21, 21.8, 4.05, 4.06, 4.06
6, 8069, 5,     0.10, 3,   boost,  165.74, 100120.00,  100.79,   82.96,  173.98, 21.8, 4.06, 4.06, 4.02
6, 8069, 5,     0.11, 3,   boost,  167.95,  99951.00,  115.01,   97.18,  175.76, 21.8, 4.05, 4.09, 4.03
6, 8069, 5,     0.12, 3,   boost,  169.89,  99951.00,  115.01,   97.18,  177.54, 21.8, 4.05, 4.06, 4.05
6, 8069, 5,     0.13, 3,   boost,  171.56,  99771.00,  130.17,  112.34,  179.33, 21.8, 4.03, 4.06, 4.02
6, 8069, 5,     0.14, 3,   boost,  172.95,  99580.00,  146.28,  128.45,  181.12, 21.8, 4.06, 4.08, 4.03
6, 8069, 5,     0.15, 3,   boost,  174.08,  99474.00,  155.23,  137.40,  182.92, 21.8, 4.03, 4.05, 4.03
6, 8069, 5,     0.16, 3,   boost,  174.94,  99345.00,  166.14,  148.31,  184.71, 21.8, 4.05, 4.06, 4.02
6, 8069, 5,     0.17, 3,   boost,  175.56,  99709.00,  135.40,  117.57,  186.51, 21.8, 4.03, 4.05, 4.00
6, 8069, 5,     0.18, 3,   boost,  175.95,  99587.00,  145.69,  127.86,  188.31, 21.8, 4.05, 4.08, 3.99
6, 8069, 5,     0.19, 3,   boost,  176.12,  99495.00,  153.46,  135.63,  190.12, 21.8, 4.05, 4.05, 4.02
6, 8069, 5,     0.20, 3,   boost,  176.09,  99449.00,  157.35,  139.52,  191.92, 21.8, 4.03, 4.06, 4.02
6, 8069, 5,     0.21, 3,   boost,  175.88,  99393.00,  162.08,  144.25,  193.72, 21.8, 4.05, 4.08, 4.03
6, 8069, 5,     0.22, 3,   boost,  175.52,  99346.00,  166.05,  148.23,  195.53, 21.8, 4.03, 4.08, 4.03
6, 8069, 5,     0.23, 3,   boost,  175.02,  99346.00,  166.05,  148.23,  197.33, 21.8, 4.05, 4.05, 4.02
6, 8069, 5,     0.24, 3,   boost,  174.40,  99312.00,  168.93,  151.10,  199.13, 21.8, 4.03, 4.05, 4.00
6, 8069, 5,     0.25, 3,   boost,  173.68,  99205.00,  177.99,  160.16,  200.93, 21.8, 4.05, 4.06, 4.00
6, 8069, 5,     0.26, 3,   boost,  172.89,  99159.00,  181.88,  164.05,  202.73, 21.8, 4.03, 4.05, 4.02
6, 8069, 5,     0.27, 3,   boost,  172.03,  99131.00,  184.26,  166.43,  204.53, 21.8, 4.06, 4.08, 4.03
6, 8069, 5,     0.28, 3,   boost,  171.13,  99087.00,  187.98,  170.16,  206.32, 21.9, 4.03, 4.08, 4.03
6, 8069, 5,     0.29, 3,   boost,  170.20,  99046.00,  191.46,  173.63,  208.11, 21.9, 4.06, 4.05, 4.02
6, 8069, 5,     0.30, 3,   boost,  169.25,  98998.00,  195.53,  177.70,  209.89, 21.9, 4.05, 4.05, 4.02
6, 8069, 5,     0.31, 3,   boost,  168.29,  98978.00,  197.23,  179.40,  211.67, 21.9, 4.05, 4.06, 4.02
6, 8069, 5,     0.32, 3,   boost,  167.33,  98931.00,  201.22,  183.39,  213.44, 21.9, 4.05, 4.06, 4.02
6, 8069, 5,     0.33, 3,   boost,  166.37,  98909.00,  203.08,  185.25,  215.21, 21.9, 4.02, 4.08, 4.02
6, 8069, 5,     0.34, 3,   boost,  165.41,  98909.00,  203.08,  185.25,  216.97, 21.9, 4.05, 4.06, 4.03
6, 8069, 5,     0.35, 3,   boost,  164.46,  98841.00,  208.86,  191.03,  218.72, 21.9, 4.03, 4.08, 4.03
6, 8069, 5,     0.36, 3,   boost,  163.51,  98743.00,  217.18,  199.35,  220.46, 21.9, 4.06, 4.03, 4.02
6, 8069, 5,     0.37, 3,   boost,  162.50,  98701.00,  220.75,  202.93,  222.19, 21.9, 4.05, 4.06, 4.03
6, 8069, 5,     0.38, 3,   boost,  161.44,  98661.00,  224.16,  206.33,  223.92, 21.9, 4.06, 4.05, 4.02
