#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 6283, 12,    -0.62, 3,   boost,   21.53, 100768.00,   46.47,    5.18,   28.97, 33.7, 4.00, 0.00, 3.97
6, 6283, 12,    -0.61, 3,   boost,   22.65, 100777.00,   45.72,    4.43,   29.40, 33.7, 3.99, 0.00, 3.96
6, 6283, 12,    -0.60, 3,   boost,   23.81, 100775.00,   45.88,    4.60,   29.84, 33.7, 4.00, 0.00, 3.96
6, 6283, 12,    -0.59, 3,   boost,   25.01, 100769.00,   46.39,    5.10,   30.29, 33.7, 4.00, 0.00, 3.96
6, 6283, 12,    -0.58, 3,   boost,   26.25, 100747.00,   48.23,    6.94,   30.74, 33.7, 3.98, 0.01, 3.98
6, 6283, 12,    -0.57, 3,   boost,   27.52, 100758.00,   47.31,    6.02,   31.19, 33.7, 3.99, 0.00, 3.96
6, 6283, 12,    -0.56, 3,   boost,   28.82, 100755.00,   47.56,    6.27,   31.65, 33.7, 4.00, 0.00, 3.97
6, 6283, 12,    -0.55, 3,   boost,   30.15, 100756.00,   47.47,    6.19,   32.11, 33.7, 4.00, 0.00, 3.96
6, 6283, 12,    -0.54, 3,   boost,   31.50, 100762.00,   46.97,    5.68,   32.58, 33.7, 4.00, 0.00, 3.97
6, 6283, 12,    -0.53, 3,   boost,   32.88, 100747.00,   48.23,    6.94,   33.06, 33.7, 4.00, 0.00, 3.96
6, 6283, 12,    -0.52, 3,   boost,   34.27, 100752.00,   47.81,    6.52,   33.53, 33.7, 4.00, 0.00, 3.97
6, 6283, 12,    -0.51, 3,   boost,   35.67, 100748.00,   48.14,    6.86,   34.01, 33.7, 3.99, 0.00, 3.96
6, 6283, 12,    -0.50, 3,   boost,   37.07, 100741.00,   48.73,    7.44,   34.50, 33.7, 4.00, 0.00, 3.96
6, 6283, 12,    -0.49, 3,   boost,   38.47, 100728.00,   49.81,    8.53,   34.99, 33.7, 3.99, 0.00, 3.96
6, 6283, 12,    -0.48, 3,   boost,   39.87, 100746.00,   48.31,    7.02,   35.49, 33.7, 4.00, 0.00, 3.96
6, 6283, 12,    -0.47, 3,   boost,   41.25, 100735.00,   49.23,    7.94,   35.99, 33.7, 3.98, 0.01, 3.98
6, 6283, 12,    -0.46, 3,   boost,   42.61, 100739.00,   48.89,    7.61,   36.49, 33.7, 3.99, 0.00, 3.97
6, 6283, 12,    -0.45, 3,   boost,   43.93, 100728.00,   49.81,    8.53,   37.00, 33.7, 3.99, 0.00, 3.97
6, 6283, 12,    -0.44, 3,   boost,   45.23, 100731.00,   49.56,    8.28,   37.52, 33.7, 3.99, 0.00, 3.97
6, 6283, 12,    -0.43, 3,   boost,   46.48, 100738.00,   48.98,    7.69,   38.04, 33.7, 4.00, 0.00, 3.97
6, 6283, 12,    -0.42, 3,   boost,   47.68, 100727.00,   49.90,    8.61,   38.56, 33.7, 3.99, 0.00, 3.97
