

RUN START 2023-03-18 11:17:42

13:24:11: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108660251665433, 'gs_temp': 9.71}
13:24:13: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108561559338762, 'gs_temp': 9.79}
13:24:15: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109449790278806, 'gs_temp': 9.85}
13:24:17: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109351097952135, 'gs_temp': 9.92}
13:24:19: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107673328398716, 'gs_temp': 9.99}
13:24:21: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109449790278806, 'gs_temp': 10.06}
13:24:23: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107969405378732, 'gs_temp': 10.12}
13:24:25: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107081174438688, 'gs_temp': 10.19}
13:24:27: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108758943992104, 'gs_temp': 10.25}
13:24:29: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0106883789785344, 'gs_temp': 10.29}
13:24:31: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010727855909203, 'gs_temp': 10.36}
13:24:33: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107081174438688, 'gs_temp': 10.41}
13:24:35: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0106686405132002, 'gs_temp': 10.48}
13:24:37: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010915371329879, 'gs_temp': 10.54}
13:24:39: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0106192943498642, 'gs_temp': 10.58}
13:24:41: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010727855909203, 'gs_temp': 10.62}
13:24:43: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0106686405132002, 'gs_temp': 10.68}
13:24:45: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0106587712805328, 'gs_temp': 10.73}
13:24:47: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010717986676536, 'gs_temp': 10.78}
13:24:49: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010717986676536, 'gs_temp': 10.83}
13:24:51: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107969405378732, 'gs_temp': 10.88}
13:24:53: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010846286701209, 'gs_temp': 10.93}
13:24:55: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107969405378732, 'gs_temp': 10.99}
13:24:57: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108068097705403, 'gs_temp': 11.03}
13:24:59: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108857636318775, 'gs_temp': 11.07}
13:25:01: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010777202072539, 'gs_temp': 11.11}
13:25:03: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010777202072539, 'gs_temp': 11.15}
13:25:05: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0106587712805328, 'gs_temp': 11.21}
13:25:07: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107574636072045, 'gs_temp': 11.25}
13:25:09: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108265482358747, 'gs_temp': 11.29}
13:25:11: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108068097705403, 'gs_temp': 11.33}
13:25:13: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108956328645449, 'gs_temp': 11.36}
13:25:15: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107377251418703, 'gs_temp': 11.41}
13:25:17: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0107969405378732, 'gs_temp': 11.46}
13:25:19: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0106982482112017, 'gs_temp': 11.5}
13:25:21: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108758943992104, 'gs_temp': 11.53}
13:25:23: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.011043671354552, 'gs_temp': 11.57}
13:25:25: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.011211448309894, 'gs_temp': 11.6}
13:25:27: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0111226252158894, 'gs_temp': 11.64}
13:25:29: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109449790278806, 'gs_temp': 11.68}
13:25:31: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010777202072539, 'gs_temp': 11.73}
13:25:35: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0108660251665433, 'gs_temp': 11.79}
13:25:37: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010846286701209, 'gs_temp': 11.81}
13:25:39: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0110535405872194, 'gs_temp': 11.85}
13:25:41: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.011043671354552, 'gs_temp': 11.88}
13:25:43: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109943251912163, 'gs_temp': 11.92}
13:25:45: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109943251912163, 'gs_temp': 11.96}
13:25:47: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.010846286701209, 'gs_temp': 12.0}
13:25:49: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109351097952135, 'gs_temp': 12.04}
13:25:51: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109943251912163, 'gs_temp': 12.06}
13:25:53: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0110535405872194, 'gs_temp': 12.1}
13:25:55: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109745867258821, 'gs_temp': 12.12}
13:25:57: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0110535405872194, 'gs_temp': 12.15}
13:25:59: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.011043671354552, 'gs_temp': 12.18}
13:26:01: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0110041944238835, 'gs_temp': 12.2}
13:26:03: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109943251912163, 'gs_temp': 12.24}
13:26:05: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0109943251912163, 'gs_temp': 12.28}
13:26:07: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0110140636565508, 'gs_temp': 12.31}
13:26:09: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.011043671354552, 'gs_temp': 12.34}
13:26:11: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0111226252158894, 'gs_temp': 12.37}
13:26:13: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.0111719713792253, 'gs_temp': 12.39}
13:26:15: Ground Station GPS {'gs_lat': 0.0, 'gs_lon': 0.0, 'gs_alt': 0.0, 'gs_baro': 1.011152232913891, 'gs_temp': 12.42}
