PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 3810
Apogee: 5608' AGL
Ground Elevation: 288' MSL
NumSamps: 2328
Flight Number: 5
Main Setting: 500' AGL
Apogee Delay: 2 Seconds
Drogue At: 20.80 Seconds
Main At: 85.50 Seconds
Max Drogue Current: 0 Amps
Max Main Current: 0 Amps
Comments: 

Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
0.00, 0, 0, 46.00, 8.20
0.05, 1, 13, 46.00, 8.20
0.10, 1, 31, 46.00, 8.20
0.15, 10, 16, 45.99, 8.20
0.20, -1, 6, 46.00, 8.20
0.25, 4, 10, 46.00, 8.20
0.30, -5, 20, 46.00, 8.20
0.35, 4, 36, 46.00, 8.20
0.40, 9, 55, 45.99, 8.20
0.45, 9, 73, 46.00, 8.20
0.50, 16, 85, 46.00, 8.20
0.55, 22, 94, 45.99, 8.20
0.60, 22, 101, 46.00, 8.20
0.65, 33, 105, 46.00, 8.20
0.70, 36, 111, 45.99, 8.20
0.75, 42, 118, 46.00, 8.20
0.80, 47, 125, 46.00, 8.20
0.85, 54, 134, 46.00, 8.20
0.90, 63, 144, 46.00, 8.20
0.95, 69, 156, 46.00, 8.20
1.00, 77, 168, 46.00, 8.20
1.05, 87, 181, 46.00, 8.20
1.10, 95, 195, 46.00, 8.20
1.15, 107, 208, 46.00, 8.20
1.20, 119, 221, 45.99, 8.20
1.25, 129, 234, 46.00, 8.20
1.30, 142, 245, 46.00, 8.20
1.35, 154, 256, 45.99, 8.20
1.40, 168, 265, 46.00, 8.20
1.45, 184, 271, 45.99, 8.20
1.50, 196, 276, 46.00, 8.20
1.55, 211, 280, 45.99, 8.20
1.60, 224, 287, 46.00, 8.20
1.65, 236, 298, 45.99, 8.20
1.70, 253, 311, 46.00, 8.20
1.75, 270, 325, 46.00, 8.20
1.80, 288, 337, 46.00, 8.20
1.85, 306, 346, 46.00, 8.20
1.90, 323, 354, 45.99, 8.20
1.95, 340, 362, 45.99, 8.20
2.00, 359, 372, 45.99, 8.20
2.05, 376, 384, 45.99, 8.20
2.10, 398, 394, 45.97, 8.20
2.15, 418, 402, 45.97, 8.20
2.20, 441, 405, 45.97, 8.20
2.25, 462, 402, 45.99, 8.20
2.30, 481, 400, 45.97, 8.20
2.35, 496, 401, 45.99, 8.20
2.40, 519, 409, 45.97, 8.20
2.45, 539, 427, 45.99, 8.20
2.50, 558, 452, 45.97, 8.20
2.55, 583, 477, 45.97, 8.20
2.60, 613, 499, 45.97, 8.20
2.65, 638, 515, 45.99, 8.20
2.70, 665, 523, 45.97, 8.20
2.75, 691, 524, 45.97, 8.20
2.80, 719, 521, 45.97, 8.20
2.85, 742, 517, 45.97, 8.20
2.90, 769, 514, 45.97, 8.20
2.95, 794, 514, 45.97, 8.20
3.00, 819, 519, 45.97, 8.20
3.05, 845, 527, 45.97, 8.20
3.10, 870, 540, 45.97, 8.20
3.15, 899, 554, 45.97, 8.20
3.20, 930, 568, 45.97, 8.20
3.25, 957, 580, 45.97, 8.20
3.30, 986, 589, 45.97, 8.20
3.35, 1018, 595, 45.97, 8.20
3.40, 1048, 600, 45.97, 8.20
3.45, 1079, 605, 45.97, 8.20
3.50, 1107, 612, 45.97, 8.20
3.55, 1136, 622, 45.97, 8.20
3.60, 1170, 633, 45.97, 8.20
3.65, 1203, 644, 45.95, 8.20
3.70, 1237, 655, 45.97, 8.20
3.75, 1268, 664, 45.97, 8.20
3.80, 1302, 671, 45.97, 8.20
3.85, 1334, 674, 45.95, 8.20
3.90, 1373, 674, 45.95, 8.20
3.95, 1408, 670, 45.95, 8.20
4.00, 1437, 664, 45.95, 8.20
4.05, 1468, 658, 45.93, 8.20
4.10, 1505, 652, 45.93, 8.20
4.15, 1537, 651, 45.93, 8.20
4.20, 1563, 649, 45.93, 8.20
4.25, 1601, 645, 45.90, 8.20
4.30, 1635, 638, 45.90, 8.20
4.35, 1667, 627, 45.90, 8.20
4.40, 1696, 615, 45.90, 8.20
4.45, 1722, 606, 45.90, 8.20
4.50, 1755, 602, 45.88, 8.20
4.55, 1783, 603, 45.90, 8.20
4.60, 1815, 607, 45.90, 8.20
4.65, 1844, 611, 45.86, 8.20
4.70, 1876, 613, 45.88, 8.20
4.75, 1907, 610, 45.86, 8.20
4.80, 1941, 603, 45.86, 8.20
4.85, 1968, 594, 45.88, 8.20
4.90, 1995, 585, 45.86, 8.20
4.95, 2024, 578, 45.86, 8.20
5.00, 2054, 574, 45.86, 8.20
5.05, 2082, 572, 45.86, 8.20
5.10, 2112, 569, 45.86, 8.20
5.15, 2138, 567, 45.86, 8.20
5.20, 2167, 564, 45.84, 8.20
5.25, 2194, 561, 45.86, 8.20
5.30, 2226, 558, 45.86, 8.20
5.35, 2250, 555, 45.86, 8.20
5.40, 2277, 551, 45.86, 8.20
5.45, 2307, 547, 45.84, 8.20
5.50, 2333, 543, 45.84, 8.20
5.55, 2360, 539, 45.84, 8.20
5.60, 2387, 535, 45.84, 8.20
5.65, 2413, 533, 45.86, 8.20
5.70, 2439, 531, 45.84, 8.20
5.75, 2467, 531, 45.84, 8.20
5.80, 2491, 532, 45.86, 8.20
5.85, 2519, 533, 45.86, 8.20
5.90, 2547, 532, 45.86, 8.20
5.95, 2573, 530, 45.86, 8.20
6.00, 2599, 525, 45.86, 8.20
6.05, 2626, 519, 45.84, 8.20
6.10, 2650, 511, 45.84, 8.20
6.15, 2678, 505, 45.84, 8.20
6.20, 2700, 501, 45.84, 8.20
6.25, 2724, 500, 45.84, 8.20
6.30, 2750, 501, 45.84, 8.20
6.35, 2775, 503, 45.84, 8.20
6.40, 2801, 504, 45.84, 8.20
6.45, 2827, 500, 45.84, 8.20
6.50, 2853, 494, 45.84, 8.20
6.55, 2876, 486, 45.84, 8.20
6.60, 2899, 478, 45.84, 8.20
6.65, 2922, 473, 45.84, 8.20
6.70, 2946, 470, 45.84, 8.20
6.75, 2969, 469, 45.84, 8.20
6.80, 2993, 469, 45.84, 8.20
6.85, 3016, 469, 45.84, 8.20
6.90, 3040, 470, 45.84, 8.20
6.95, 3062, 469, 45.84, 8.20
7.00, 3087, 468, 45.84, 8.20
7.05, 3111, 464, 45.84, 8.20
7.10, 3133, 460, 45.84, 8.20
7.15, 3157, 454, 45.84, 8.20
7.20, 3178, 448, 45.84, 8.20
7.25, 3201, 445, 45.82, 8.20
7.30, 3220, 443, 45.84, 8.20
7.35, 3246, 444, 45.82, 8.20
7.40, 3265, 445, 45.84, 8.20
7.45, 3290, 445, 45.82, 8.20
7.50, 3311, 442, 45.81, 8.20
7.55, 3334, 438, 45.84, 8.20
7.60, 3356, 433, 45.81, 8.20
7.65, 3377, 428, 45.81, 8.20
7.70, 3396, 426, 45.82, 8.20
7.75, 3418, 425, 45.82, 8.20
7.80, 3439, 426, 45.81, 8.20
7.85, 3462, 425, 45.81, 8.20
7.90, 3484, 422, 45.81, 8.20
7.95, 3503, 417, 45.81, 8.20
8.00, 3525, 411, 45.81, 8.20
8.05, 3543, 406, 45.81, 8.20
8.10, 3565, 401, 45.81, 8.20
8.15, 3584, 398, 45.79, 8.20
8.20, 3604, 395, 45.81, 8.20
8.25, 3623, 392, 45.81, 8.20
8.30, 3642, 390, 45.81, 8.20
8.35, 3664, 389, 45.81, 8.20
8.40, 3681, 388, 45.81, 8.20
8.45, 3700, 388, 45.81, 8.20
8.50, 3720, 388, 45.81, 8.20
8.55, 3741, 387, 45.81, 8.20
8.60, 3759, 385, 45.81, 8.20
8.65, 3778, 382, 45.81, 8.20
8.70, 3797, 378, 45.79, 8.20
8.75, 3818, 376, 45.79, 8.20
8.80, 3832, 373, 45.81, 8.20
8.85, 3854, 371, 45.79, 8.20
8.90, 3871, 368, 45.77, 8.20
8.95, 3891, 365, 45.77, 8.20
9.00, 3908, 359, 45.77, 8.20
9.05, 3926, 354, 45.79, 8.20
9.10, 3943, 350, 45.77, 8.20
9.15, 3960, 347, 45.77, 8.20
9.20, 3977, 346, 45.77, 8.20
9.25, 3994, 346, 45.77, 8.20
9.30, 4012, 348, 45.77, 8.20
9.35, 4030, 348, 45.77, 8.20
9.40, 4047, 349, 45.77, 8.20
9.45, 4063, 348, 45.77, 8.20
9.50, 4082, 346, 45.77, 8.20
9.55, 4101, 342, 45.75, 8.20
9.60, 4116, 339, 45.77, 8.20
9.65, 4131, 335, 45.77, 8.20
9.70, 4150, 331, 45.77, 8.20
9.75, 4166, 327, 45.77, 8.20
9.80, 4182, 324, 45.77, 8.20
9.85, 4198, 321, 45.77, 8.20
9.90, 4213, 318, 45.77, 8.20
9.95, 4230, 316, 45.77, 8.20
10.00, 4244, 314, 45.77, 8.20
10.05, 4261, 313, 45.77, 8.20
10.10, 4277, 311, 45.77, 8.20
10.15, 4291, 310, 45.77, 8.20
10.20, 4307, 309, 45.77, 8.20
10.25, 4323, 308, 45.77, 8.20
10.30, 4337, 307, 45.75, 8.20
10.35, 4353, 306, 45.77, 8.20
10.40, 4369, 305, 45.75, 8.20
10.45, 4384, 303, 45.75, 8.20
10.50, 4398, 300, 45.77, 8.20
10.55, 4414, 296, 45.77, 8.20
10.60, 4429, 292, 45.75, 8.20
10.65, 4442, 289, 45.77, 8.20
10.70, 4457, 287, 45.77, 8.20
10.75, 4470, 286, 45.77, 8.20
10.80, 4485, 286, 45.77, 8.20
10.85, 4499, 285, 45.75, 8.20
10.90, 4515, 284, 45.73, 8.20
10.95, 4528, 281, 45.77, 8.20
11.00, 4543, 278, 45.77, 8.20
11.05, 4554, 275, 45.77, 8.20
11.10, 4569, 272, 45.77, 8.20
11.15, 4584, 269, 45.77, 8.20
11.20, 4595, 267, 45.77, 8.20
11.25, 4609, 265, 45.77, 8.20
11.30, 4623, 263, 45.77, 8.20
11.35, 4635, 263, 45.77, 8.20
11.40, 4647, 262, 45.77, 8.20
11.45, 4662, 261, 45.77, 8.20
11.50, 4675, 260, 45.77, 8.20
11.55, 4688, 259, 45.77, 8.20
11.60, 4699, 257, 45.77, 8.20
11.65, 4714, 255, 45.75, 8.20
11.70, 4725, 253, 45.77, 8.20
11.75, 4739, 249, 45.75, 8.20
11.80, 4752, 245, 45.75, 8.20
11.85, 4762, 240, 45.77, 8.20
11.90, 4775, 236, 45.75, 8.20
11.95, 4785, 234, 45.77, 8.20
