timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batteryVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
176441	100754.062500	307.07	1.771709	-0.086191	-9.710882	0.037247	0.002128	-0.018091	310.92	0.01	1.94	1.15	-0.10	50.297691	0	0	0	0	0
181441	100779.843750	307.00	1.786074	-0.081402	-9.672574	0.039376	0.003192	-0.015963	310.97	0.01	0.17	-0.39	-0.11	48.407131	0	0	0	0	0
186441	100755.125000	306.62	1.771709	-0.095768	-9.658209	0.037247	-0.002128	-0.017027	310.38	0.00	0.70	0.07	-0.13	50.607051	0	0	0	0	0
191441	100763.453125	306.20	1.776497	-0.086191	-9.691728	0.038312	0.001064	-0.017027	310.53	0.00	0.63	0.02	-0.13	49.865818	0	0	0	0	0
196441	100771.562500	305.79	1.790862	-0.076614	-9.682151	0.037247	-0.001064	-0.014899	310.09	0.01	0.33	-0.29	-0.13	49.144100	0	0	0	0	0
201441	100766.750000	305.41	1.800439	-0.095768	-9.691728	0.037247	0.001064	-0.019156	309.85	0.00	0.80	-0.10	-0.12	49.572395	0	0	0	0	0
206441	100761.765625	305.03	1.781286	-0.071826	-9.686940	0.039376	0.002128	-0.017027	309.45	0.01	0.58	-0.39	-0.12	50.016006	0	0	0	0	0
211441	100767.890625	304.69	1.766920	-0.086191	-9.682151	0.034055	0.002128	-0.017027	309.21	0.01	0.78	-0.18	-0.12	49.470882	0	0	0	0	0
216441	100764.906250	304.41	1.757344	-0.071826	-9.696516	0.037247	-0.001064	-0.017027	308.82	0.00	-0.94	-0.78	-0.11	49.407669	0	0	0	0	0
221441	100785.796875	304.15	1.766920	-0.090979	-9.763554	0.039376	0.000000	-0.018091	308.77	0.00	-1.19	-0.97	-0.09	47.560852	0	0	0	0	0
226441	100761.031250	303.95	1.776497	-0.153228	-9.691728	0.038312	0.000000	-0.017027	308.28	0.00	-0.21	-0.04	-0.11	49.750270	0	0	0	0	0
231441	100765.375000	303.70	1.776497	-0.071826	-9.686940	0.037247	0.001064	-0.014899	308.43	0.00	-0.30	-0.21	-0.11	49.366226	0	0	0	0	0
236441	100768.203125	303.53	1.786074	-0.105344	-9.715670	0.034055	0.000000	-0.017027	308.13	0.00	-0.17	-0.10	-0.09	49.116191	0	0	0	0	0
241441	100750.843750	303.37	1.757344	-0.057460	-9.658209	0.037247	-0.001064	-0.019156	307.84	0.01	0.54	0.45	-0.12	50.651027	0	0	0	0	0
246441	100753.656250	303.20	1.728613	-0.100556	-9.686940	0.037247	-0.002128	-0.020220	307.84	0.00	0.01	-0.10	-0.11	50.402343	0	0	0	0	0
251441	100751.281250	303.10	1.781286	-0.081402	-9.686940	0.037247	0.002128	-0.019156	307.89	0.01	0.26	0.22	-0.12	50.612342	0	0	0	0	0
256441	100748.890625	303.00	1.776497	-0.071826	-9.658209	0.032990	0.000000	-0.015963	307.35	0.00	0.03	-0.09	-0.13	50.823726	0	0	0	0	0
261441	100766.640625	302.90	1.790862	-0.071826	-9.667786	0.037247	0.003192	-0.020220	307.55	0.00	-0.72	-0.96	-0.12	49.254333	0	0	0	0	0
266441	100736.609375	302.77	1.805227	-0.114921	-9.658209	0.036183	0.002128	-0.018091	307.35	0.00	0.61	0.26	-0.12	51.909725	0	0	0	0	0
271441	100741.718750	302.70	1.771709	-0.086191	-9.610325	0.036183	0.002128	-0.021284	307.15	0.01	0.31	-0.01	-0.16	51.457901	0	0	0	0	0
276441	100743.046875	302.62	1.771709	-0.105344	-9.658209	0.034055	0.001064	-0.017027	307.06	0.00	-0.18	-0.02	-0.13	51.001457	0	0	0	0	0
281441	100744.390625	302.54	1.733402	-0.067037	-9.461884	0.040440	0.002128	-0.017027	306.96	0.01	-0.11	0.01	-0.13	50.883419	0	0	0	0	0
286441	100750.812500	302.39	1.786074	-0.081402	-9.672574	0.038312	0.000000	-0.019156	306.86	0.01	-0.07	-0.02	-0.12	50.319320	0	0	0	0	0
291441	100748.359375	302.29	1.776497	-0.095768	-9.672574	0.036183	-0.001064	-0.018091	306.86	0.00	0.03	-0.00	-0.12	50.534801	0	0	0	0	0
296441	100740.828125	302.25	1.795651	-0.134075	-9.715670	0.037247	-0.003192	-0.015963	306.52	0.01	0.01	-0.19	-0.11	51.196361	0	0	0	0	0
301441	100749.671875	302.21	1.781286	-0.067037	-9.677363	0.036183	0.002128	-0.018091	306.66	0.01	-0.23	-0.30	-0.11	50.419509	0	0	0	0	0
306441	100742.156250	302.17	1.800439	-0.119710	-9.672574	0.036183	0.000000	-0.017027	306.81	0.00	0.36	-0.20	-0.11	51.079692	0	0	0	0	0
311441	100747.218750	302.11	1.781286	-0.086191	-9.677363	0.037247	0.000000	-0.021284	306.47	0.01	0.39	-0.14	-0.12	50.634990	0	0	0	0	0
316441	100748.484375	302.02	1.786074	-0.081402	-9.686940	0.036183	-0.001064	-0.019156	306.52	0.01	0.16	-0.33	-0.10	50.523818	0	0	0	0	0
