timestampMs	pressurePa	tempK	accelX	accelY	accelZ	gyroX	gyroY	gyroZ	imuTemp	battV	altitudeM	velocityMS	accelerationMSS	unfiltAlt	flightState	drogueCont	drogueFired	mainCont	mainFired
5115	100703.703125	302.29	-9.801861	0.483628	0.397437	0.000000	0.006385	0.012770	300.98	4.03	0.99	-0.51	0.00	54.361259	0	0	0	0	0
10115	100679.187500	302.35	-9.801861	0.474051	0.435744	-0.011706	0.004256	0.011706	300.94	4.05	1.91	0.03	-0.00	56.511856	0	0	0	0	0
15115	100658.265625	302.43	-9.811438	0.488417	0.411802	0.002128	0.003192	0.015963	300.95	4.02	1.26	1.15	0.00	58.394187	0	0	0	0	0
20115	100676.125000	302.51	-9.797073	0.445321	0.411802	-0.015963	0.002128	0.009578	301.07	4.03	1.12	0.11	0.00	56.825942	0	0	0	0	0
25115	100713.406250	302.60	-9.801861	0.292092	0.454898	-0.011706	0.005321	0.010642	301.15	4.03	-2.05	-1.65	0.00	53.552978	0	0	0	0	0
30115	100673.046875	302.68	-9.801861	0.555454	0.263362	-0.006385	0.005321	0.007449	301.16	4.03	0.52	0.99	-0.00	57.096218	0	0	0	0	0
35115	100667.875000	302.74	-9.811438	0.469263	0.402225	-0.010642	0.005321	0.009578	301.30	4.03	0.31	0.35	0.00	57.550354	0	0	0	0	0
40115	100685.734375	302.82	-9.797073	0.464475	0.349553	-0.007449	0.008513	0.005321	301.38	4.03	-0.07	-0.47	0.00	55.982231	0	0	0	0	0
45115	100661.187500	302.89	-9.806650	0.521935	0.397437	-0.014899	0.002128	0.015963	301.36	4.03	0.62	0.64	-0.00	58.137599	0	0	0	0	0
50115	100675.484375	302.95	-9.806650	0.483628	0.330399	-0.005321	0.010642	0.006385	301.47	4.03	0.64	0.47	-0.00	56.882194	0	0	0	0	0
55115	100673.906250	303.03	-9.806650	0.584185	0.469263	-0.003192	0.004256	0.006385	301.57	4.02	0.31	0.02	-0.00	57.020759	0	0	0	0	0
60115	100665.156250	303.08	-9.811438	0.316034	0.416591	-0.013834	0.007449	0.017027	301.57	4.03	0.97	0.55	0.00	57.789089	0	0	0	0	0
65115	100675.875000	303.13	-9.782708	0.445321	0.426167	-0.025541	0.006385	0.008513	301.66	4.03	0.17	0.02	-0.00	56.847892	0	0	0	0	0
70115	100670.703125	303.20	-9.811438	0.541089	0.493205	-0.009578	0.008513	0.011706	301.74	4.03	0.44	-0.39	0.00	57.302017	0	0	0	0	0
75115	100665.531250	303.26	-9.806650	0.502782	0.373495	-0.015963	0.007449	0.006385	301.74	4.02	1.31	1.04	-0.00	57.756160	0	0	0	0	0
80115	100656.781250	303.31	-9.811438	0.541089	0.421379	-0.011706	0.008513	0.008513	301.83	4.03	1.66	0.54	-0.00	58.524539	0	0	0	0	0
