key,value
altimeter_name,SillyGoose
altimeter_note,EggThing
importer_id,sillygoose
imported_at,2026-05-28T23:14:14.379Z
row_count,11206
peak_altitude_m,380.85
peak_velocity_ms,86.28
peak_acceleration_mss,71.21
flight_notes,"the altimeter was and egg something, but I didn't want to add an import script for that, so this is formated as sillygoose data "
converted_from,03-18-2023 11-17-42 GroundStationDataInterface_parsed.txt
conversion,groundstation_to_sillygoose
filtered_crc,Good
has_gps_data,false
parser_cache_version,4
source_fingerprint,03-18-2023 11-17-42 GroundStationDataInterface_sillygoose.txt:4400813:1780328415362
