key,value
altimeter_name,FCB
flight_location,CRMRC
flight_date,2023-04-15
flight_name,OORR
altimeter_note,FCBV0
importer_id,fcb
imported_at,2026-05-28T23:02:30.062Z
row_count,9388
peak_altitude_m,1029.13
peak_velocity_ms,142.29
peak_acceleration_mss,241.48
motor,unknown
flight_notes,
pressure_ref,0.993872440167777
gravity_ref,1
launched,1
gps_timestamp,2023-04-15T17:16:51.000Z
apogee_timestamp,1970-01-13T10:44:17.000Z
trigger_fire_status,-4
has_gps_data,true
parser_cache_version,4
source_fingerprint,V0 2023-04-15-oorr-output-FCB-post.csv:8440130:1779998473248
