key,value
altimeter_name,FCB
flight_location,CRMRC
flight_date,2024-02-25
flight_name,Teapot
altimeter_note,FCBV0
importer_id,fcb
imported_at,2026-05-28T23:01:10.711Z
row_count,2043
peak_altitude_m,591.52
peak_velocity_ms,109.00
peak_acceleration_mss,205.23
motor,unknown
flight_notes,
pressure_ref,0.9968295090056748
gravity_ref,1
launched,1
gps_timestamp,2024-02-25T20:00:18.000Z
apogee_timestamp,1970-01-16T15:15:15.000Z
trigger_fire_status,-4
gyro_offsets,0.01771610975265503
has_gps_data,true
parser_cache_version,4
source_fingerprint,teapot_fcb_02_25-output-FCB-post.csv:1866343:1779998473521
