key,value
altimeter_name,FCB
flight_location,CRMRC
flight_date,2024-11-03
flight_name,Wyatt
altimeter_note,FCBV2
importer_id,fcb
imported_at,2026-05-28T23:00:11.777Z
row_count,5010
peak_altitude_m,670.59
peak_velocity_ms,104.43
peak_acceleration_mss,291.90
motor,unknown
flight_notes,
pressure_ref,1.0173698494942018
gravity_ref,1
launched,1
gps_timestamp,2024-11-03T18:56:22.000Z
apogee_timestamp,1970-01-08T12:37:37.000Z
trigger_fire_status,-15
gyro_offset_x,-0.015625953674316406
gyro_offset_y,0.01171875
gyro_offset_z,7.327471962526033e-15
has_gps_data,true
parser_cache_version,4
source_fingerprint,wyatt-fcbv2-2024-11-03-output-FCB-post.csv:3887412:1779998473623
