key,value
altimeter_name,FCB
altimeter_note,FCBV0
importer_id,fcb
imported_at,2026-05-29T01:16:53.338Z
row_count,7212
peak_altitude_m,1329.99
peak_velocity_ms,153.64
peak_acceleration_mss,143.57
flight_notes,
pressure_ref,0.9717579570688379
gravity_ref,1
launched,1
gps_timestamp,2025-05-04T17:23:50.000Z
apogee_timestamp,1970-03-13T10:31:00.000Z
trigger_fire_status,-1
gyro_offset_x,0.01031501591205597
gyro_offset_y,-0.008793366141617298
gyro_offset_z,-0.033478736877441406
has_gps_data,true
parser_cache_version,5
source_fingerprint,nuli_launch_nasa_competition-output-FCB-post.csv:6654146:1780704153093
