version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6,9895,5,-0.14,3,boost,48.92,99835.00,124.78,24.49,70.86,13.0,4.02,4.02,4.02
6,9895,5,-0.13,3,boost,51.46,99831.00,125.11,24.82,71.86,13.0,4.03,4.02,4.03
6,9895,5,-0.12,3,boost,54.08,99822.00,125.87,25.58,72.87,13.0,4.02,4.00,4.03
6,9895,5,-0.11,3,boost,56.79,99808.00,127.05,26.76,73.88,13.0,4.02,4.00,4.03
6,9895,5,-0.10,3,boost,59.59,99800.00,127.72,27.44,74.91,13.0,4.03,4.02,4.03
6,9895,5,-0.09,3,boost,62.46,99787.00,128.82,28.53,75.95,13.0,4.03,4.00,4.03
6,9895,5,-0.08,3,boost,65.40,99779.00,129.49,29.21,77.00,13.0,4.02,4.02,4.03
6,9895,5,-0.07,3,boost,68.40,99766.00,130.59,30.30,78.05,13.0,4.03,4.02,4.03
6,9895,5,-0.06,3,boost,71.46,99748.00,132.11,31.82,79.12,13.0,4.02,4.02,4.02
6,9895,5,-0.05,3,boost,74.56,99729.00,133.71,33.42,80.20,13.0,4.03,4.00,4.03
6,9895,5,-0.04,3,boost,77.69,99722.00,134.30,34.01,81.29,13.0,4.02,4.02,4.03
6,9895,5,-0.03,3,boost,80.85,99705.00,135.73,35.44,82.39,13.0,4.03,4.02,4.03
6,9895,5,-0.02,3,boost,84.01,99686.00,137.34,37.05,83.50,13.0,4.02,4.02,4.03
6,9895,5,-0.01,3,boost,87.17,99645.00,140.80,40.51,84.61,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.00,3,boost,90.31,99632.00,141.89,41.60,85.74,13.0,4.02,4.02,4.03
6,9895,5,0.01,3,boost,93.41,99593.00,145.18,44.89,86.88,13.0,4.02,4.02,4.03
6,9895,5,0.02,3,boost,96.45,99581.00,146.20,45.91,88.03,13.0,4.03,4.02,4.03
6,9895,5,0.03,3,boost,99.43,99549.00,148.90,48.61,89.19,13.0,4.03,4.02,4.03
6,9895,5,0.04,3,boost,102.33,99514.00,151.85,51.57,90.36,13.0,4.02,4.02,4.03
6,9895,5,0.05,3,boost,105.12,99477.00,154.98,54.69,91.54,13.0,4.03,4.02,4.02
6,9895,5,0.06,3,boost,107.81,99456.00,156.75,56.47,92.73,13.0,4.03,4.00,4.06
6,9895,5,0.07,3,boost,110.36,99418.00,159.97,59.68,93.93,13.0,4.03,4.02,4.03
6,9895,5,0.08,3,boost,112.78,99396.00,161.83,61.54,95.13,13.0,4.03,4.02,4.03
6,9895,5,0.09,3,boost,115.05,99379.00,163.26,62.97,96.34,13.0,4.03,4.02,4.03
6,9895,5,0.10,3,boost,117.16,99369.00,164.11,63.82,97.56,13.0,4.03,4.02,4.02
6,9895,5,0.11,3,boost,119.11,99363.00,164.62,64.33,98.79,13.0,4.03,4.00,4.03
6,9895,5,0.12,3,boost,120.89,99363.00,164.62,64.33,100.03,13.0,4.03,4.00,4.03
6,9895,5,0.13,3,boost,122.49,99357.00,165.12,64.84,101.28,13.0,4.02,4.02,4.03
6,9895,5,0.14,3,boost,123.93,99363.00,164.62,64.33,102.53,13.0,4.03,4.02,4.03
6,9895,5,0.15,3,boost,125.20,99366.00,164.36,64.07,103.79,13.0,4.03,4.02,4.03
6,9895,5,0.16,3,boost,126.31,99364.00,164.53,64.24,105.06,13.0,4.02,4.02,4.03
6,9895,5,0.17,3,boost,127.27,99367.00,164.28,63.99,106.34,13.0,4.02,4.00,4.03
6,9895,5,0.18,3,boost,128.07,99360.00,164.87,64.58,107.62,13.0,4.02,4.02,4.03
6,9895,5,0.19,3,boost,128.75,99351.00,165.63,65.34,108.91,13.0,4.03,4.02,4.03
6,9895,5,0.20,3,boost,129.30,99350.00,165.72,65.43,110.21,13.0,4.03,4.02,4.03
6,9895,5,0.21,3,boost,129.73,99349.00,165.80,65.51,111.52,13.0,4.03,4.02,4.03
6,9895,5,0.22,3,boost,130.07,99338.00,166.73,66.44,112.83,13.0,4.02,4.02,4.03
6,9895,5,0.23,3,boost,130.33,99338.00,166.73,66.44,114.14,13.0,4.03,4.00,4.03
6,9895,5,0.24,3,boost,130.51,99324.00,167.92,67.63,115.47,13.0,4.03,4.02,4.03
6,9895,5,0.25,3,boost,130.64,99311.00,169.02,68.73,116.79,12.9,4.03,4.00,4.03
6,9895,5,0.26,3,boost,130.72,99296.00,170.28,70.00,118.13,12.9,4.02,4.02,4.02
6,9895,5,0.27,3,boost,130.77,99270.00,172.48,72.20,119.47,12.9,4.03,4.02,4.03
6,9895,5,0.28,3,boost,130.80,99255.00,173.75,73.47,120.81,12.9,4.03,4.00,4.03
6,9895,5,0.29,3,boost,130.81,99240.00,175.02,74.74,122.16,12.9,4.02,4.02,4.03
6,9895,5,0.30,3,boost,130.82,99222.00,176.55,76.26,123.51,12.9,4.03,4.02,4.03
6,9895,5,0.31,3,boost,130.84,99199.00,178.50,78.21,124.86,12.9,4.03,4.02,4.03
6,9895,5,0.32,3,boost,130.85,99187.00,179.51,79.22,126.21,12.9,4.02,4.00,4.02
