key,value
altimeter_name,RawGPSData
altimeter_note,GPS
importer_id,rawgpsdata
imported_at,2026-05-28T17:42:32.459Z
source_format,Raw GPS CSV
time_units,s
altitude_units,m
start_timestamp,1763236582.4323337
end_timestamp,1763237082.4825082
start_latitude,44.825096130371094
start_longitude,-73.16305541992188
end_latitude,44.82490158081055
end_longitude,-73.16101837158203
row_count,434
peak_altitude_m,1689.50
has_gps_data,true
parser_cache_version,5
source_fingerprint,MBTA_GPS_out_header.txt:31839:1780704153108
