key,value
altimeter_name,StratoLoggerCF
flight_location,CRMRC
flight_date,2025-11-15
flight_name,MBTA
altimeter_note,Backup
importer_id,stratologgercf
imported_at,2026-05-28T17:42:12.779Z
product,PerfectFlite SLCF
firmware,1.0
software,1.16
serial_number,3810
apogee,5608' AGL
ground_elevation,288' MSL
numsamps,2328
flight_number,5
main_setting,500' AGL
apogee_delay,2 Seconds
drogue_at,20.80 Seconds
main_at,85.50 Seconds
max_drogue_current,0 Amps
max_main_current,0 Amps
comments,
row_count,2328
peak_altitude_m,1718.46
peak_velocity_ms,205.44
has_gps_data,false
parser_cache_version,4
source_fingerprint,Strat backup MBTA.txt:71461:1779845853554
