timestampMs,pressurePa,tempK,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,battV,altitudeM,velocityMS,accelerationMSS,unfiltAlt,flightState,drogueCont,drogueFired,mainCont,mainFired,tiltMagnitudeDeg,angularVelRadS_x,angularVelRadS_y,angularVelRadS_z,quaternion_a,quaternion_b,quaternion_c,quaternion_d
5116,101661.312500,279.06,9.911994,-0.258573,-0.828393,0.041504,-0.032990,-0.011706,283.70,4.03,-0.44,-0.07,0.00,-27.053436,0,1,0,1,0,,,,,,,,
10116,101669.421875,279.18,9.777919,0.071826,-0.114921,0.019156,0.001064,-0.011706,283.80,4.01,-0.25,0.06,-0.01,-27.704870,0,1,0,1,0,,,,,,,,
15116,101651.281250,279.26,9.768342,0.047884,-0.062249,0.020220,0.001064,-0.012770,283.85,4.03,0.31,0.47,-0.01,-26.247558,0,1,0,1,0,,,,,,,,
20116,101655.515625,279.36,9.811438,0.081402,-0.071826,0.019156,0.003192,-0.008513,283.90,4.01,0.26,0.40,-0.01,-26.587741,0,1,0,1,0,,,,,,,,
25116,101659.765625,279.46,9.801861,0.076614,-0.081402,0.020220,-0.001064,-0.008513,284.14,4.04,0.21,0.09,-0.01,-26.929168,0,1,0,1,0,,,,,,,,
30116,101660.203125,279.55,9.797073,0.076614,-0.047884,0.020220,0.001064,-0.006385,284.14,4.03,0.23,-0.09,-0.00,-26.964315,0,1,0,1,0,,,,,,,,
35116,101664.421875,279.65,9.787496,0.100556,-0.071826,0.021284,0.003192,-0.009578,284.39,4.01,0.17,-0.08,-0.00,-27.303220,0,1,0,1,0,,,,,,,,
40116,101664.828125,279.73,9.825803,0.119710,-0.090979,0.021284,0.003192,-0.009578,284.24,4.04,0.38,-0.04,-0.00,-27.335855,0,1,0,1,0,,,,,,,,
45116,101665.250000,279.82,9.787496,0.138863,-0.062249,0.022348,0.003192,-0.011706,284.58,4.01,0.29,-0.14,-0.01,-27.369745,0,1,0,1,0,,,,,,,,
50116,101647.015625,279.90,9.811438,0.071826,-0.105344,0.018091,0.000000,-0.006385,284.44,4.04,0.86,0.30,-0.00,-25.904851,0,1,0,1,0,,,,,,,,
55116,101647.406250,279.98,9.806650,0.100556,-0.081402,0.021284,0.001064,-0.012770,284.58,4.01,0.49,0.03,-0.01,-25.936235,0,1,0,1,0,,,,,,,,
60116,101643.968750,280.05,9.753977,0.081402,-0.090979,0.023412,0.001064,-0.009578,284.39,4.03,0.74,0.17,-0.01,-25.660055,0,1,0,1,0,,,,,,,,
65116,101659.203125,280.12,9.787496,0.023942,-0.124498,0.019156,0.000000,-0.010642,284.88,4.04,0.76,0.11,-0.01,-26.883981,0,1,0,1,0,,,,,,,,
70116,101637.125000,280.18,9.787496,0.114921,-0.124498,0.018091,0.000000,-0.010642,284.88,4.01,1.09,0.40,-0.01,-25.110181,0,1,0,1,0,,,,,,,,
75116,101652.343750,280.25,9.811438,0.100556,-0.062249,0.022348,-0.002128,-0.008513,284.93,4.03,0.78,-0.01,-0.00,-26.332918,0,1,0,1,0,,,,,,,,
80116,101648.890625,280.32,9.811438,0.105344,-0.076614,0.019156,0.001064,-0.009578,284.93,4.01,0.67,-0.14,-0.01,-26.055494,0,1,0,1,0,,,,,,,,
85116,101641.656250,280.37,9.816226,0.105344,-0.162805,0.018091,0.011706,-0.008513,284.97,4.03,0.71,-0.18,-0.00,-25.474256,0,1,0,1,0,,,,,,,,
90116,101656.828125,280.44,9.777919,0.114921,0.191536,0.025541,-0.001064,-0.007449,285.07,4.01,0.93,-0.01,-0.01,-26.693183,0,1,0,1,0,,,,,,,,
95116,101630.937500,280.49,9.801861,-0.210689,-0.023942,0.038312,-0.001064,-0.010642,284.93,4.03,1.22,0.17,-0.01,-24.613008,0,1,0,1,0,,,,,,,,
100116,101646.109375,280.55,9.787496,0.119710,0.244208,-0.031926,0.001064,-0.006385,285.27,4.03,0.87,-0.28,-0.01,-25.832040,0,1,0,1,0,,,,,,,,
105116,101653.703125,280.59,9.763554,0.225054,-0.134075,0.023412,-0.004256,-0.011706,285.22,4.01,1.04,-0.13,-0.01,-26.442129,0,1,0,1,0,,,,,,,,
110116,101646.437500,280.64,9.792284,0.090979,-0.062249,0.018091,0.000000,-0.009578,285.22,4.03,0.85,-0.33,-0.01,-25.858404,0,1,0,1,0,,,,,,,,
115116,101657.828125,280.69,9.792284,0.019153,-0.090979,0.021284,0.001064,-0.008513,285.42,4.01,1.02,-0.24,-0.00,-26.773519,0,1,0,1,0,,,,,,,,
120116,101650.578125,280.74,9.777919,-0.090979,-0.110133,0.027669,0.001064,-0.013834,285.46,4.03,0.92,-0.29,-0.00,-26.191068,0,1,0,1,0,,,,,,,,
125116,101643.296875,280.79,9.816226,0.134075,-0.062249,0.023412,0.002128,-0.008513,285.32,4.00,1.28,-0.12,-0.00,-25.606073,0,1,0,1,0,,,,,,,,
130116,101632.234375,280.82,9.825803,-0.043095,-0.138863,0.025541,0.002128,-0.013834,285.51,4.03,1.46,0.08,-0.00,-24.717216,0,1,0,1,0,,,,,,,,
