timestampMs,pressurePa,tempK,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,battV,altitudeM,velocityMS,accelerationMSS,unfiltAlt,flightState,drogueCont,drogueFired,mainCont,mainFired,tiltMagnitudeDeg,angularVelRadS_x,angularVelRadS_y,angularVelRadS_z,quaternion_a,quaternion_b,quaternion_c,quaternion_d
5116,101691.312500,278.92,-9.935936,0.158017,-0.148440,-0.009578,0.018091,0.003192,283.51,4.06,-0.36,0.09,0.11,-29.445154,0,1,0,1,0,,,,,,,,
10116,101696.546875,279.02,-9.926360,0.258573,-0.057460,-0.008513,0.012770,0.003192,283.65,4.03,-0.62,-0.08,0.11,-29.865283,0,1,0,1,0,,,,,,,,
15116,101683.828125,279.12,-9.921571,0.196324,-0.138863,-0.008513,0.018091,0.002128,283.80,4.06,0.24,0.53,0.11,-28.844402,0,1,0,1,0,,,,,,,,
20116,101689.046875,279.22,-9.916783,0.148440,-0.071826,-0.009578,0.012770,0.004256,283.90,4.03,-0.39,-0.19,0.11,-29.263301,0,1,0,1,0,,,,,,,,
25116,101676.281250,279.32,-9.931148,0.239420,-0.172382,-0.008513,0.011706,0.004256,284.04,4.06,0.26,0.23,0.11,-28.238594,0,1,0,1,0,,,,,,,,
30116,101677.625000,279.40,-9.940725,0.177170,-0.105344,-0.009578,0.011706,0.005321,284.24,4.05,0.50,0.33,0.11,-28.346464,0,1,0,1,0,,,,,,,,
35116,101682.828125,279.50,-9.931148,0.201112,-0.143652,-0.010642,0.012770,0.007449,284.39,4.03,0.35,0.19,0.11,-28.764131,0,1,0,1,0,,,,,,,,
40116,101684.156250,279.58,-9.916783,0.153228,-0.052672,-0.010642,0.012770,0.006385,284.19,4.05,0.32,-0.07,0.11,-28.870740,0,1,0,1,0,,,,,,,,
45116,101685.468750,279.66,-9.945513,0.196324,-0.138863,-0.013834,0.014899,0.008513,284.19,4.03,0.47,-0.01,0.11,-28.976093,0,1,0,1,0,,,,,,,,
50116,101668.796875,279.75,-9.892841,0.282515,-0.186747,-0.011706,0.011706,0.004256,284.44,4.05,0.85,0.27,0.10,-27.637769,0,1,0,1,0,,,,,,,,
55116,101670.109375,279.83,-9.931148,0.225054,-0.134075,-0.008513,0.009578,0.004256,284.53,4.03,0.76,0.01,0.10,-27.743135,0,1,0,1,0,,,,,,,,
60116,101685.562500,279.90,-9.892841,0.167594,-0.057460,-0.012770,0.011706,0.006385,284.44,4.05,0.46,-0.32,0.11,-28.983619,0,1,0,1,0,,,,,,,,
65116,101686.859375,279.98,-9.916783,0.225054,-0.124498,-0.009578,0.013834,0.009578,284.68,4.05,0.87,0.03,0.11,-29.087717,0,1,0,1,0,,,,,,,,
70116,101666.234375,280.04,-9.911994,0.220266,-0.100556,-0.012770,0.012770,0.005321,284.78,4.03,0.43,-0.43,0.10,-27.432050,0,1,0,1,0,,,,,,,,
