timestampMs,pressurePa,tempK,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,battV,altitudeM,velocityMS,accelerationMSS,unfiltAlt,flightState,drogueCont,drogueFired,mainCont,mainFired,tiltMagnitudeDeg,angularVelRadS_x,angularVelRadS_y,angularVelRadS_z,quaternion_a,quaternion_b,quaternion_c,quaternion_d
127,99846.140625,280.56,-8.432377,-1.565807,2.499546,-1.776191,1.576117,3.445960,284.88,3.96,154.72,0.00,0.00,120.526824,4,0,0,0,0,,,,,,,,
137,99846.140625,280.56,-7.795520,-0.866701,2.566584,-1.652741,1.666576,3.522585,284.97,3.96,154.72,0.00,0.00,120.526824,4,0,0,0,0,,,,,,,,
147,99846.140625,280.56,-7.144297,-0.995987,2.992752,-1.550576,1.751714,3.570475,285.22,3.95,154.72,0.00,0.00,120.526824,4,0,0,0,0,,,,,,,,
157,99827.000000,280.56,-5.645527,-0.584185,3.102885,-1.455860,1.744265,3.603466,284.78,3.92,155.07,0.34,-0.00,122.096229,4,0,0,0,0,,,,,,,,
167,99850.062500,280.58,-4.563348,-0.598550,2.873042,-1.389878,1.652741,3.627943,285.07,3.94,154.92,0.18,-0.00,120.205284,4,0,0,0,0,,,,,,,,
177,99850.062500,280.58,-4.458003,-0.263362,2.657563,-1.304739,1.533548,3.642842,284.97,3.93,154.79,0.06,0.00,120.205284,4,0,0,0,0,,,,,,,,
187,99888.359375,280.58,-4.481945,-0.047884,2.403778,-1.221730,1.429254,3.657742,285.22,3.93,153.93,-0.78,0.00,117.066024,4,0,0,0,0,,,,,,,,
197,99853.984375,280.60,-4.673481,0.043095,2.628833,-1.120629,1.315382,3.659870,285.12,3.92,153.96,-0.74,0.00,119.883758,4,0,0,0,0,,,,,,,,
207,99853.984375,280.60,-6.248866,0.148440,2.786850,-0.983344,1.284519,3.601337,284.93,3.93,153.99,-0.71,0.00,119.883758,4,0,0,0,0,,,,,,,,
217,99873.125000,280.60,-9.567230,0.402225,2.662352,-0.783269,1.400520,3.429997,285.22,3.93,153.61,-1.07,0.00,118.314697,4,0,0,0,0,,,,,,,,
227,99853.984375,280.60,-15.806519,1.388636,3.375824,-0.548075,1.777256,2.976637,285.22,3.91,153.72,-0.95,0.00,119.883758,4,0,0,0,0,,,,,,,,
237,99853.984375,280.60,-12.631808,1.503558,1.374271,-0.691746,1.775127,2.379607,285.07,3.92,153.80,-0.86,0.00,119.883758,4,0,0,0,0,,,,,,,,
247,99834.828125,280.60,-8.355763,0.924161,1.264138,-0.993986,1.480337,2.131643,285.22,3.92,154.26,-0.41,-0.00,121.454345,4,0,0,0,0,,,,,,,,
257,99834.828125,280.60,-10.251971,1.517923,1.446097,-1.212152,1.186611,1.983715,284.97,3.91,154.60,-0.07,-0.00,121.454345,4,0,0,0,0,,,,,,,,
267,99857.906250,280.61,-16.812084,2.054224,2.159569,-1.464373,1.123821,1.613365,285.22,3.92,154.39,-0.27,-0.00,119.562240,4,0,0,0,0,,,,,,,,
277,99838.750000,280.61,-9.773131,1.752555,1.096544,-1.295162,1.393070,1.484594,285.07,3.91,154.62,-0.04,-0.00,121.132781,4,0,0,0,0,,,,,,,,
287,99838.750000,280.61,-6.947973,1.671152,1.632845,-1.207895,1.431382,1.559089,285.12,3.92,154.80,0.12,-0.00,121.132781,4,0,0,0,0,,,,,,,,
