timestampMs,pressurePa,tempK,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,battV,altitudeM,velocityMS,accelerationMSS,unfiltAlt,flightState,drogueCont,drogueFired,mainCont,mainFired,tiltMagnitudeDeg,angularVelRadS_x,angularVelRadS_y,angularVelRadS_z,quaternion_a,quaternion_b,quaternion_c,quaternion_d
5116,101779.812500,278.13,9.844957,-0.440533,0.536301,-0.046825,0.012770,0.035119,283.60,4.07,0.52,0.07,0.04,-36.444351,0,1,0,1,0,,,,,,,,
10116,101769.796875,278.25,9.854534,-0.316034,0.383072,-0.046825,0.020220,0.029798,283.60,4.05,0.78,0.26,0.04,-35.643218,0,1,0,1,0,,,,,,,,
15116,101755.828125,278.35,9.868899,-0.306457,0.344765,-0.045761,0.020220,0.025541,283.60,4.07,1.11,0.32,0.05,-34.525768,0,1,0,1,0,,,,,,,,
20116,101745.781250,278.47,9.868899,-0.287304,0.325611,-0.046825,0.019156,0.026605,283.60,4.04,0.93,0.00,0.05,-33.721981,0,1,0,1,0,,,,,,,,
25116,101754.468750,278.58,9.840168,-0.292092,0.311246,-0.046825,0.020220,0.027669,283.70,4.07,1.31,0.26,0.04,-34.417018,0,1,0,1,0,,,,,,,,
30116,101763.156250,278.70,9.859322,-0.354341,0.301669,-0.048954,0.020220,0.028734,283.80,4.07,0.94,-0.28,0.05,-35.112007,0,1,0,1,0,,,,,,,,
35116,101749.125000,278.80,9.821015,-0.354341,0.296881,-0.050018,0.014899,0.029798,284.19,4.05,1.82,0.40,0.04,-33.989501,0,1,0,1,0,,,,,,,,
40116,101753.875000,278.90,9.902418,-0.277727,0.325611,-0.046825,0.021284,0.026605,284.14,4.07,1.60,-0.03,0.05,-34.369518,0,1,0,1,0,,,,,,,,
45116,101739.812500,279.00,9.844957,-0.306457,0.330399,-0.044697,0.018091,0.028734,284.04,4.05,2.22,0.51,0.05,-33.244426,0,1,0,1,0,,,,,,,,
50116,101744.531250,279.10,9.883264,-0.311246,0.325611,-0.045761,0.020220,0.028734,284.44,4.07,2.22,0.30,0.04,-33.621971,0,1,0,1,0,,,,,,,,
55116,101749.234375,279.20,9.859322,-0.292092,0.320823,-0.044697,0.021284,0.027669,284.44,4.04,-0.48,-0.58,0.05,-34.154388,0,1,0,1,0,,,,,,,,
60116,101735.156250,279.30,9.830592,-0.296881,0.339976,-0.046825,0.020220,0.026605,284.68,4.07,0.37,0.39,0.04,-33.022830,0,1,0,1,0,,,,,,,,
65116,101735.906250,279.38,9.849745,-0.287304,0.330399,-0.047890,0.020220,0.027669,284.53,4.07,0.66,0.53,0.05,-33.083118,0,1,0,1,0,,,,,,,,
70116,101736.671875,279.47,9.888052,-0.320823,0.354341,-0.045761,0.020220,0.025541,284.88,4.04,0.37,0.15,0.05,-33.144660,0,1,0,1,0,,,,,,,,
75116,101756.234375,279.55,9.864110,-0.277727,0.311246,-0.044697,0.021284,0.026605,284.68,4.07,0.35,-0.01,0.05,-34.716976,0,1,0,1,0,,,,,,,,
80116,101738.187500,279.63,9.849745,-0.311246,0.339976,-0.045761,0.017027,0.026605,284.93,4.04,0.40,-0.08,0.05,-33.266487,0,1,0,1,0,,,,,,,,
85116,101738.921875,279.72,9.859322,-0.296881,0.349553,-0.046825,0.021284,0.027669,285.12,4.07,0.49,-0.02,0.05,-33.325515,0,1,0,1,0,,,,,,,,
90116,101735.750000,279.78,9.878476,-0.282515,0.344765,-0.044697,0.022348,0.028734,285.07,4.04,0.79,0.14,0.05,-33.070560,0,1,0,1,0,,,,,,,,
95116,101736.468750,279.87,9.844957,-0.316034,0.354341,-0.045761,0.020220,0.028734,285.07,4.06,0.86,0.10,0.05,-33.128334,0,1,0,1,0,,,,,,,,
100116,101733.281250,279.93,9.849745,-0.316034,0.311246,-0.043633,0.019156,0.025541,285.12,4.05,1.25,0.39,0.04,-32.872116,0,1,0,1,0,,,,,,,,
105116,101711.265625,280.00,9.859322,-0.339976,0.325611,-0.044697,0.019156,0.028734,285.42,4.04,1.30,0.38,0.04,-31.102291,0,1,0,1,0,,,,,,,,
110116,101745.703125,280.07,9.854534,-0.282515,0.339976,-0.045761,0.019156,0.027669,285.27,4.06,0.77,-0.23,0.05,-33.870567,0,1,0,1,0,,,,,,,,
115116,101719.765625,280.12,9.883264,-0.292092,0.320823,-0.046825,0.019156,0.028734,285.46,4.03,1.43,0.26,0.05,-31.785638,0,1,0,1,0,,,,,,,,
120116,101735.406250,280.18,9.859322,-0.325611,0.325611,-0.046825,0.019156,0.029798,285.61,4.06,1.23,-0.01,0.05,-33.042926,0,1,0,1,0,,,,,,,,
125116,101732.187500,280.25,9.849745,-0.320823,0.330399,-0.046825,0.021284,0.029798,285.66,4.04,1.32,0.00,0.05,-32.784198,0,1,0,1,0,,,,,,,,
130116,101728.953125,280.32,9.859322,-0.306457,0.316034,-0.044697,0.020220,0.027669,285.61,4.06,1.16,-0.19,0.05,-32.524204,0,1,0,1,0,,,,,,,,
135116,101721.859375,280.37,9.849745,-0.277727,0.363918,-0.045761,0.015963,0.027669,285.81,4.06,1.72,0.19,0.05,-31.953956,0,1,0,1,0,,,,,,,,
140116,101737.453125,280.43,9.854534,-0.316034,0.330399,-0.042569,0.020220,0.026605,285.81,4.03,1.02,-0.56,0.05,-33.207458,0,1,0,1,0,,,,,,,,
145116,101730.328125,280.48,9.873687,-0.282515,0.330399,-0.047890,0.018091,0.027669,285.66,4.06,1.54,0.00,0.05,-32.634735,0,1,0,1,0,,,,,,,,
150116,101723.187500,280.53,9.844957,-0.397437,0.454898,-0.046825,0.020220,0.027669,286.15,4.03,1.78,0.14,0.05,-32.060722,0,1,0,1,0,,,,,,,,
155116,101716.046875,280.58,9.816226,-0.268150,0.349553,-0.043633,0.022348,0.026605,286.05,4.06,2.09,0.39,0.04,-31.486679,0,1,0,1,0,,,,,,,,
160116,101727.750000,280.63,9.883264,-0.325611,0.330399,-0.043633,0.019156,0.027669,285.95,4.03,1.93,0.18,0.05,-32.427490,0,1,0,1,0,,,,,,,,
165116,101739.437500,280.68,9.892841,-0.272938,0.325611,-0.046825,0.020220,0.027669,285.95,4.06,1.70,-0.15,0.05,-33.366958,0,1,0,1,0,,,,,,,,
170116,101713.437500,280.73,9.859322,-0.301669,0.349553,-0.040440,0.020220,0.028734,286.05,4.05,2.10,0.21,0.04,-31.276901,0,1,0,1,0,,,,,,,,
