timestampMs,pressurePa,tempK,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,battV,altitudeM,velocityMS,accelerationMSS,unfiltAlt,flightState,drogueCont,drogueFired,mainCont,mainFired,tiltMagnitudeDeg,angularVelRadS_x,angularVelRadS_y,angularVelRadS_z,quaternion_a,quaternion_b,quaternion_c,quaternion_d
5115,101770.531250,280.83,0.512359,-9.830592,-0.153228,-0.004256,0.012770,-0.004256,278.53,4.05,-0.38,-0.24,0.02,-36.059921,0,0,0,0,0,,,,,,,,
10115,101785.671875,280.90,0.502782,-9.840168,-0.177170,-0.004256,0.012770,-0.004256,278.61,4.06,-0.32,-0.46,0.03,-37.283107,0,0,0,0,0,,,,,,,,
15115,101763.859375,280.96,0.478840,-9.840168,-0.177170,-0.004256,0.013834,-0.003192,278.59,4.02,0.55,0.45,0.02,-35.520862,0,0,0,0,0,,,,,,,,
20115,101760.531250,281.03,0.488417,-9.830592,-0.153228,-0.004256,0.013834,-0.005321,278.72,4.05,0.37,0.14,0.02,-35.251956,0,0,0,0,0,,,,,,,,
25115,101779.484375,281.11,0.493205,-9.835380,-0.162805,-0.005321,0.014899,-0.003192,278.72,4.03,-0.08,-0.71,0.03,-36.783248,0,0,0,0,0,,,,,,,,
30115,101757.609375,281.17,0.478840,-9.830592,-0.177170,-0.004256,0.013834,-0.004256,278.76,4.01,0.81,0.28,0.02,-35.015865,0,0,0,0,0,,,,,,,,
35115,101758.046875,281.25,0.493205,-9.830592,-0.162805,-0.004256,0.013834,-0.003192,278.87,4.03,0.50,-0.10,0.02,-35.051216,0,0,0,0,0,,,,,,,,
40115,101754.703125,281.32,0.483628,-9.835380,-0.172382,-0.004256,0.013834,-0.004256,278.85,4.03,1.14,0.33,0.03,-34.781032,0,0,0,0,0,,,,,,,,
45115,101751.343750,281.38,0.483628,-9.840168,-0.177170,-0.003192,0.013834,-0.004256,279.00,4.02,1.33,0.51,0.02,-34.509578,0,0,0,0,0,,,,,,,,
50115,101766.468750,281.45,0.488417,-9.830592,-0.177170,-0.004256,0.013834,-0.004256,279.11,4.05,0.94,0.03,0.02,-35.731693,0,0,0,0,0,,,,,,,,
55115,101766.890625,281.53,0.483628,-9.840168,-0.172382,-0.004256,0.012770,-0.004256,279.11,4.05,1.18,0.13,0.02,-35.765777,0,0,0,0,0,,,,,,,,
60115,101741.203125,281.58,0.493205,-9.840168,-0.162805,-0.004256,0.013834,-0.004256,279.17,4.01,1.49,0.44,0.02,-33.690128,0,0,0,0,0,,,,,,,,
65115,101737.812500,281.64,0.493205,-9.835380,-0.167594,-0.004256,0.014899,-0.004256,279.27,4.05,1.41,0.17,0.02,-33.416118,0,0,0,0,0,,,,,,,,
70115,101752.953125,281.71,0.483628,-9.840168,-0.162805,-0.005321,0.012770,-0.004256,279.27,4.05,1.38,0.19,0.03,-34.639625,0,0,0,0,0,,,,,,,,
75115,101745.781250,281.76,0.483628,-9.835380,-0.172382,-0.004256,0.014899,-0.004256,279.32,4.01,1.50,0.32,0.02,-34.060089,0,0,0,0,0,,,,,,,,
80115,101757.109375,281.81,0.478840,-9.835380,-0.167594,-0.004256,0.014899,-0.003192,279.36,4.03,1.01,-0.16,0.02,-34.975463,0,0,0,0,0,,,,,,,,
85115,101749.937500,281.86,0.478840,-9.835380,-0.172382,-0.004256,0.013834,-0.004256,279.46,4.05,1.34,-0.16,0.02,-34.395946,0,0,0,0,0,,,,,,,,
90115,101761.265625,281.90,0.493205,-9.825803,-0.172382,-0.004256,0.013834,-0.003192,279.53,4.02,1.50,0.12,0.02,-35.311290,0,0,0,0,0,,,,,,,,
95115,101754.078125,281.95,0.493205,-9.835380,-0.172382,-0.004256,0.014899,-0.003192,279.58,4.03,1.35,0.03,0.03,-34.730529,0,0,0,0,0,,,,,,,,
