version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6,13371,2,-0.62,3,boost,26.31,100586.00,61.70,7.03,29.97,31.6,9.30,9.33,9.30
6,13371,2,-0.61,3,boost,27.72,100637.00,57.43,2.76,30.47,31.6,9.29,9.33,9.30
6,13371,2,-0.60,3,boost,29.19,100591.00,61.28,6.61,30.98,31.6,9.29,9.32,9.30
6,13371,2,-0.59,3,boost,30.72,100592.00,61.20,6.53,31.49,31.6,9.29,9.32,9.30
6,13371,2,-0.58,3,boost,32.29,100592.00,61.20,6.53,32.02,31.6,9.29,9.33,9.30
6,13371,2,-0.57,3,boost,33.92,100609.00,59.77,5.11,32.54,31.6,9.30,9.32,9.30
6,13371,2,-0.56,3,boost,35.59,100607.00,59.94,5.27,33.08,31.6,9.30,9.32,9.30
6,13371,2,-0.55,3,boost,37.30,100588.00,61.53,6.86,33.63,31.6,9.29,9.33,9.30
6,13371,2,-0.54,3,boost,39.06,100602.00,60.36,5.69,34.18,31.6,9.29,9.32,9.30
6,13371,2,-0.53,3,boost,40.84,100576.00,62.54,7.87,34.74,31.6,9.29,9.32,9.30
6,13371,2,-0.52,3,boost,42.66,100583.00,61.95,7.28,35.30,31.6,9.29,9.33,9.30
6,13371,2,-0.51,3,boost,44.50,100572.00,62.87,8.20,35.88,31.6,9.29,9.32,9.30
6,13371,2,-0.50,3,boost,46.36,100585.00,61.78,7.12,36.46,31.6,9.30,9.32,9.30
6,13371,2,-0.49,3,boost,48.23,100565.00,63.46,8.79,37.05,31.6,9.29,9.33,9.30
6,13371,2,-0.48,3,boost,50.10,100566.00,63.37,8.71,37.64,31.6,9.29,9.33,9.30
6,13371,2,-0.47,3,boost,51.96,100560.00,63.88,9.21,38.25,31.6,9.30,9.32,9.30
6,13371,2,-0.46,3,boost,53.81,100567.00,63.29,8.62,38.86,31.6,9.29,9.32,9.30
6,13371,2,-0.45,3,boost,55.64,100558.00,64.04,9.38,39.48,31.6,9.29,9.32,9.31
6,13371,2,-0.44,3,boost,57.44,100558.00,64.04,9.38,40.11,31.6,9.29,9.33,9.30
6,13371,2,-0.43,3,boost,59.20,100552.00,64.55,9.88,40.74,31.6,9.29,9.32,9.30
6,13371,2,-0.42,3,boost,60.91,100555.00,64.29,9.63,41.39,31.6,9.29,9.32,9.30
6,13371,2,-0.41,3,boost,62.57,100560.00,63.88,9.21,42.04,31.6,9.29,9.32,9.30
6,13371,2,-0.40,3,boost,64.17,100544.00,65.22,10.55,42.70,31.6,9.29,9.32,9.30
6,13371,2,-0.39,3,boost,65.70,100548.00,64.88,10.21,43.37,31.6,9.29,9.32,9.30
