key,value
altimeter_name,SillyGoose
flight_location,FAR
flight_date,2026-05-28
flight_name,Small Owl
altimeter_note,SIMULATION
importer_id,sillygoose
imported_at,2026-05-28T15:24:26.355Z
source_files,C:\Users\patri\Downloads\Flight_1 (1).txt
BOARD_NAME,SillyGooseV2
DROGUE_DELAY,1001
MAIN_ELEVATION,200.00
BATTERY_VOLTAGE_SENSOR_SCALE_FACTOR,0.0129
GROUND_ELEVATION,-13.69
GROUND_TEMPERATURE,295.63
PYRO_FIRE_DURATION,1000
BUZZER_ENABLED,0
FLIGHT_STATE,0
BOARD_ORIENTATION,4
CONFIGURATION_VERSION,1
FIRMWARE_VERSION,1.00
