timestampMs,pressurePa,tempK,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,battV,altitudeM,velocityMS,accelerationMSS,unfiltAlt,flightState,drogueCont,drogueFired,mainCont,mainFired,tiltMagnitudeDeg,angularVelRadS_x,angularVelRadS_y,angularVelRadS_z,quaternion_a,quaternion_b,quaternion_c,quaternion_d
11107,93754.156250,319.26,-0.035282,-9.806650,-0.014876,0.480778,-0.564866,0.476280,0.00,0.00,5.29,6.26,-0.02,720.368652,0,0,0,0,0,0.73,0.471936,0.402432,-0.412950,0.709949,-0.007042,-0.704217,0.000000
16108,93757.656250,319.26,-0.079944,-9.806650,-0.097900,0.482852,-0.132771,0.371639,0.00,0.01,0.45,-0.35,0.00,720.024902,0,0,0,0,0,0.73,-0.026857,0.229754,-0.340491,0.709949,-0.007042,-0.704217,0.000000
21110,93759.000000,319.26,-0.062284,-9.806650,-0.009983,0.448069,-1.017225,0.208326,0.00,0.01,0.58,-0.01,-0.00,719.892883,0,0,0,0,0,0.73,0.791542,0.017612,-0.220088,0.709949,-0.007042,-0.704217,0.000000
26111,93759.500000,319.26,-0.076585,-9.782181,-0.073422,0.512371,-0.695648,0.317281,0.00,0.01,0.50,-0.04,-0.02,719.843811,0,0,0,0,0,0.73,0.343713,0.118054,-0.241583,0.709949,-0.007042,-0.704217,0.000000
31113,93759.796875,319.26,-0.043163,-9.806600,-0.058869,0.466093,-1.308769,0.413807,0.00,0.01,0.48,-0.01,-0.00,719.814636,0,0,0,0,0,0.73,0.816764,0.178342,-0.137125,0.709949,-0.007042,-0.704217,0.000000
32563,94386.187500,319.26,-2.011014,-33.977409,-0.098379,-6.315522,284.529998,40.773990,0.00,0.01,-31.09,2.59,22.48,658.463500,1,0,0,0,0,0.73,-285.022003,40.538524,6.644490,0.709949,-0.007042,-0.704217,0.000000
32573,94390.539062,319.26,-2.024681,-34.145259,-0.098655,-6.362616,286.515014,41.054267,0.00,0.01,-31.25,2.70,22.65,658.038391,1,0,0,0,0,13.41,-287.007019,40.818801,6.691584,0.478953,-0.595820,-0.317431,-0.561104
32583,94394.890625,319.26,-2.038347,-34.313114,-0.098930,-6.409709,288.500000,41.334545,0.00,0.01,-31.40,2.82,22.81,657.613403,1,0,0,0,0,14.65,-288.992004,41.099079,6.738677,-0.168319,-0.668693,0.345761,-0.636369
32593,94399.242187,319.26,-2.052012,-34.480964,-0.099203,-6.456803,290.484985,41.614822,0.00,0.01,-31.56,2.94,22.98,657.188354,1,0,0,0,0,3.11,-290.976989,41.379356,6.785771,-0.669998,-0.157729,0.708434,-0.156026
32603,94403.585937,319.26,-2.065679,-34.648818,-0.099478,-6.503898,292.470001,41.895103,0.00,0.01,-31.72,3.06,23.15,656.764099,1,0,0,0,0,11.20,-292.962005,41.659637,6.832866,-0.584102,0.492908,0.449473,0.462427
32613,94407.937500,319.26,-2.079344,-34.816669,-0.099752,-6.550992,294.454986,42.175380,0.00,0.02,-31.88,3.18,23.31,656.339111,1,0,0,0,0,15.64,-294.946990,41.939914,6.879960,0.018192,0.709301,-0.207266,0.673499
32623,94412.289062,319.26,-2.093010,-34.984523,-0.100028,-6.598085,296.440002,42.455657,0.00,0.01,-32.04,3.29,23.48,655.914123,1,0,0,0,0,6.17,-296.932006,42.220191,6.927053,0.605563,0.295620,-0.681124,0.286305
32633,94416.640625,319.26,-2.106677,-35.152374,-0.100302,-6.645180,298.424987,42.735935,0.00,0.01,-32.21,3.41,23.64,655.489196,1,0,0,0,0,8.82,-298.916992,42.500469,6.974148,0.652718,-0.383208,-0.546985,-0.357654
32643,94420.992187,319.26,-2.120343,-35.320228,-0.100576,-6.692273,300.410003,43.016212,0.00,0.01,-32.38,3.52,23.81,655.064270,1,0,0,0,0,15.92,-300.902008,42.780746,7.021241,0.113072,-0.718844,0.079242,-0.681320
32653,94425.335937,319.26,-2.134010,-35.488082,-0.100851,-6.739367,302.394989,43.296489,0.00,0.01,-32.55,3.64,23.98,654.640075,1,0,0,0,0,8.62,-302.886993,43.061023,7.068335,-0.529879,-0.405166,0.635060,-0.389571
32663,94429.687500,319.26,-2.147675,-35.655933,-0.101126,-6.786460,304.380004,43.576766,0.00,0.01,-32.72,3.75,24.14,654.215148,1,0,0,0,0,6.51,-304.872009,43.341300,7.115428,-0.692304,0.277505,0.614556,0.256952
